5937848
/m/0ffgzt
/m/0ffgzt
Alan Ayckbourn

a 6
about 1
affairs 1
after 1
also 1
and 14
anniversary 1
are 3
as 1
at 3
audience 1
back 1
be 2
bed 2
bedroom 1
bedrooms 1
been 1
beginning 1
blazing 1
but 2
by 1
cast 1
celebrate 1
complicating 1
connection 1
consists 1
couple 1
couples 2
decides 1
delia 3
doubt 1
during 1
end 1
ends 1
ernest 3
eventually 1
factor 1
feeling 1
finds 1
following 1
for 2
forced 1
four 1
getting 1
girlfriend 1
go 4
goes 1
has 1
have 2
him 1
himself 1
his 1
home 1
host 1
housewarming 1
hurt 1
in 3
invited 1
is 6
jan 4
kate 3
kissing 1
last 2
leaves 1
leaving 1
malcolm 1
married 1
meal 1
meanwhile 1
might 1
minute 1
morning 1
nick 3
night 1
not 1
of 5
offered 1
oldest 1
one 1
ones 1
only 1
other 1
out 2
parents 1
party 2
place 1
play 3
plot 1
ready 1
reconciled 1
rest 1
result 1
room 2
row 1
seem 1
seen 1
sharing 1
she 1
sleep 1
spare 2
state 1
straighten 1
susannah 5
takes 1
that 2
the 18
their 1
they 1
things 1
this 1
three 1
to 11
trevor 7
two 1
unable 2
up 2
used 1
visit 1
waiting 1
wedding 1
whether 1
which 1
while 1
whose 2
will 1
with 2
youngest 1
