8843578
/m/027lqxn
/m/027lqxn
Richard Russo
2001-05-08
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 13
addition 1
affair 1
after 1
all 1
also 1
an 5
and 7
answer 1
antagonistic 1
around 1
at 1
attractive 1
bachelorette 1
bankrupt 1
bar 1
become 1
between 1
boy 1
brother 1
bully 1
by 2
cant 1
center 1
chief 1
child 1
childhood 1
cocky 1
comeau 1
comes 1
complicated 1
condescending 1
conflict 1
constantly 1
cook 1
cruel 1
daughter 2
day 1
dealing 1
decaying 1
details 1
dimwitted 1
disturbed 1
due 1
emotional 1
emotionally 1
empire 5
encouragement 1
engagement 1
entire 2
every 1
exboyfriend 1
exercising 1
exmotherinlaw 1
exwife 1
falls 1
family 1
father 2
fitness 1
flashbacks 1
for 1
friends 1
friendship 1
from 1
goodhearted 1
grill 4
grubby 1
had 1
handout 1
hardluck 1
has 9
he 2
her 2
his 9
house 1
important 1
in 4
include 1
including 1
into 1
is 7
it 1
janine 1
jock 1
john 2
known 2
life 3
losing 1
loved 1
loving 1
maine 1
manager 1
many 1
marijuana 1
matron 1
might 1
miles 6
minty 1
mother 2
moved 1
mysterious 1
nearly 1
neerdowell 1
nicknamed 1
obnoxious 1
of 5
officer 1
old 1
other 1
over 1
owner 1
owns 2
partly 1
people 1
plagued 1
plus 1
point 1
police 2
questions 1
rascal 1
reformed 1
resist 1
retiring 1
rigorously 1
roby 3
school 1
selfish 1
set 1
she 1
since 1
small 1
smoking 1
some 1
spent 1
story 2
suitor 1
talented 1
teenage 1
that 1
the 10
this 3
tick 1
to 2
too 1
town 4
unassuming 1
visits 1
voss 1
waitress 1
walt 2
was 1
way 1
wealthiest 1
weight 1
well 1
when 2
which 1
who 10
whose 1
with 2
woman 2
years 1
zack 3
