2911778
/m/08c1vf
/m/08c1vf
D.J. MacHale
2003-09-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 20
acting 1
actual 1
actually 1
after 2
again 1
agrees 1
aja 14
all 2
allowing 1
almost 1
alone 1
along 1
alpha 2
amazed 1
ameobalike 1
amidst 1
and 28
anyone 1
appear 1
appearance 1
appears 1
are 5
around 2
as 1
at 2
attack 1
avenue 1
back 2
balls 1
barbican 1
basketball 1
be 5
beaten 1
because 2
become 1
before 1
begins 1
behind 1
being 2
believe 1
better 1
bit 1
black 1
bobby 16
bodies 1
bring 1
brought 1
buckets 1
bug 7
building 1
but 2
by 1
called 6
can 4
cannot 1
cant 1
caretakers 1
ceremony 1
chases 1
city 2
coach 1
code 5
come 2
computer 2
confusion 1
congratulating 1
contained 1
convince 1
convinces 1
cornered 1
could 1
covered 1
crowd 1
dane 9
danemdashagain 1
danger 1
dark 1
darkness 1
death 1
decide 1
defeat 1
deserted 1
desires 1
destroy 1
destroyed 1
destruction 1
die 1
differences 1
different 1
dilute 1
director 1
disguise 1
doesnt 1
dog 1
down 1
dr 3
dying 1
earth 1
eelong 3
effect 1
either 1
encounter 1
enters 1
escape 1
even 1
everyone 2
evolving 1
experiences 1
explaining 1
explains 2
face 1
family 1
fantasy 7
far 2
fears 2
feel 1
filled 1
finish 2
finishes 1
first 2
floating 1
flume 1
following 1
food 1
for 1
form 1
forma 1
forms 1
four 2
from 3
game 1
geniuses 1
get 1
giants 1
gives 1
go 1
goes 1
grid 2
grows 1
gunny 4
had 1
hardly 1
has 5
hates 1
have 2
he 7
heart 1
help 2
her 1
heshe 1
him 6
his 9
hologram 2
holograms 1
holographic 1
home 1
hope 1
how 1
however 5
huge 2
humanoid 1
if 3
imagine 1
immediately 1
in 15
independently 1
inhabitants 1
injured 1
intervention 1
into 5
invented 1
is 26
it 10
its 4
jump 1
jumphe 1
jumps 1
jungle 1
key 1
killian 1
know 2
land 1
landscape 1
large 1
later 1
latter 1
leave 1
leaves 1
leaving 1
left 1
lessthanperfect 1
level 3
life 1
lifelight 11
lifelighta 1
lifesized 1
lights 1
like 1
lives 1
living 1
local 1
locker 1
looming 1
loor 4
lose 1
loss 1
made 1
make 2
malfunctioning 1
man 1
marley 1
massive 2
meet 1
meeting 1
meets 2
mentioned 1
motorboats 1
much 1
need 2
news 1
nightmares 1
no 1
of 20
off 2
on 8
one 4
online 2
only 4
opponents 1
or 1
ordinary 1
origin 1
out 6
outside 1
over 1
own 3
people 3
perfect 2
phaders 1
phadervedder 1
physical 2
pick 1
place 1
placebo 1
plan 1
plantanimal 1
plays 2
pool 1
popular 1
powerful 1
preys 1
prime 1
processing 1
program 1
promising 1
pulled 2
purging 1
put 1
pyramid 1
race 3
racers 1
racing 1
rapidly 1
rather 1
real 3
realistic 2
reality 5
receives 1
red 1
reenters 1
report 1
residence 1
resides 1
rest 1
right 1
room 2
rubic 1
running 1
sabotaged 1
saddened 1
saint 10
save 1
second 2
seek 1
sees 1
send 1
sends 1
sets 1
sever 1
shapeshifter 1
she 7
shut 1
side 1
simply 2
six 1
sixteenyearold 1
skaters 1
slickshot 1
snow 1
so 1
software 1
some 1
sort 1
source 1
spill 1
split 1
stand 1
start 1
stays 1
steps 1
stirs 1
stop 2
structure 2
succeeds 1
suddenly 1
takes 4
taller 1
team 1
tells 2
territory 4
than 2
thankfully 1
that 11
the 60
their 2
them 5
then 2
thence 1
there 1
therein 1
they 9
this 1
those 1
through 1
to 26
too 2
town 1
traveler 2
travelers 1
tropical 1
trusts 1
turns 3
twice 1
unfortunately 1
up 5
upright 1
use 1
uses 1
vedders 1
veelox 5
verge 1
very 1
victory 1
villain 1
virtual 2
virus 2
way 1
west 1
when 2
where 5
which 4
while 2
who 2
wild 1
will 1
with 8
working 1
world 1
worlda 1
worried 1
would 1
you 1
your 1
z 1
zadaa 1
zero 1
zetlin 10
