3670857
/m/09tkgj
/m/09tkgj
Anne Michaels
1996
13 1
154 1
a 10
abandon 1
able 1
admirer 1
after 3
alex 3
alexandra 1
also 1
an 2
ancient 1
and 13
archaeologist 1
at 1
athos 4
because 1
becomes 1
beer 1
behind 1
bella 3
ben 5
big 1
biskupin 1
book 2
born 1
burying 1
but 3
by 3
cabinet 1
canada 1
canadian 1
change 1
child 1
constantly 1
coping 1
deals 1
descent 1
destroyed 1
divorcing 1
dwells 1
end 2
endured 1
english 1
erases 1
escapes 1
especially 1
expects 1
expert 1
fails 1
fall 1
family 3
fascinated 1
fast 1
fastpaced 1
fate 1
finds 1
first 1
forest 1
former 1
from 2
generations 1
geologist 1
girl 1
go 1
greece 3
greek 1
has 1
have 1
hazel 1
he 6
help 1
her 1
hides 1
hiding 1
him 2
himself 2
his 8
history 1
holocaust 2
home 3
horrors 1
hours 1
house 1
hurricane 1
in 13
into 2
is 10
jakob 11
jewish 2
journals 1
languages 1
learning 1
learns 1
let 1
library 1
living 1
love 1
marries 2
marry 1
master 1
meets 2
memories 1
memory 1
michaela 2
move 2
much 1
music 1
must 1
named 1
naomi 1
nazis 1
neck 1
new 1
novel 1
of 16
old 1
on 3
one 1
ontario 1
outspokenly 1
parents 2
part 2
past 3
perspective 1
philosophical 1
pianoplaying 1
poetry 1
poland 1
professor 1
relationship 1
respects 1
retrieve 1
roussos 1
runs 1
second 1
secretly 1
seems 1
sent 1
several 2
sister 1
soil 1
some 1
spends 1
stones 1
stormed 1
survivors 1
swimming 1
takes 1
that 1
the 22
they 2
time 1
to 9
together 1
told 1
too 1
toronto 1
trouble 1
understand 1
up 2
wallpaper 1
war 1
was 1
way 1
weather 1
weston 1
when 1
where 2
who 2
with 4
woman 1
wood 1
wordplay 1
working 1
year 1
years 1
younger 1
zakynthos 1
