12035449
/m/02vmp2b
/m/02vmp2b
Cornelia Funke
2007-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
12th 1
a 3
about 1
adventure 1
agrees 1
albert 2
also 1
an 1
ancestors 1
and 5
are 1
armor 1
assistance 1
at 1
attempts 1
baroness 1
be 2
begins 1
birthday 1
books 3
brother 2
but 3
by 2
can 1
castle 4
chivalry 1
condition 1
day 1
days 1
defend 1
defenses 1
end 1
even 1
eventually 1
family 3
feels 1
find 2
finds 1
following 1
for 2
form 2
from 1
get 1
give 1
greedy 1
had 2
handles 1
he 1
help 1
helps 1
her 9
home 2
human 1
igraine 6
in 4
ingredient 3
into 1
is 3
keeping 1
king 1
knight 2
leaves 1
line 1
lives 1
magic 2
magical 3
magicians 1
many 1
matters 1
missing 2
mistake 1
mount 1
much 1
must 1
nextdoor 1
not 2
of 7
off 1
old 1
older 1
on 1
one 1
only 1
osmond 2
over 1
overthrow 1
parents 2
pigs 1
plans 1
possess 1
powerful 1
process 1
restoration 1
return 1
rules 1
searching 1
secret 1
she 2
siege 2
so 1
some 1
sorrowful 1
steal 1
suit 1
take 1
taken 1
teaching 1
tears 1
the 17
their 2
there 1
these 1
they 1
though 2
to 8
turned 1
wants 1
warded 1
way 1
when 1
while 2
who 3
with 1
worse 1
