4738901
/m/0ckrxc
/m/0ckrxc
Algis Budrys
1960
a 17
able 1
advancing 1
adventurer 1
affected 1
after 1
again 2
against 1
air 1
al 1
alien 2
all 2
allows 1
almost 1
already 1
also 1
amoral 1
an 1
and 10
announces 2
anyone 1
anyway 1
appeal 1
are 3
artifact 2
artist 1
as 3
at 2
attempts 1
back 3
barker 12
base 1
be 2
beating 1
because 1
been 1
bizarre 1
but 4
candidate 1
cannot 1
care 1
challenge 1
claire 5
connie 1
connington 7
containing 1
continental 2
continues 1
copy 2
covets 1
created 1
crude 1
cummings 1
dark 1
deadly 1
death 3
declares 1
deeply 1
deprivation 1
deteriorates 1
didnt 1
different 1
disastrous 1
doppelgnger 1
dr 1
duplicate 1
duplicates 1
each 1
earth 2
earthbound 1
edward 1
electronics 1
elects 1
elizabeth 2
else 1
emerging 1
enjoys 1
enter 1
equipment 1
even 3
eventually 1
exclaiming 1
experiences 1
experiencing 1
explore 1
eyes 1
facilities 1
final 1
finally 1
finding 1
finds 1
finished 1
first 2
for 5
force 1
found 2
from 2
further 1
get 1
hand 2
has 4
have 1
hawks 13
he 11
head 1
her 6
him 3
himself 1
his 9
however 1
i 1
if 1
in 4
inevitably 1
investigate 1
is 7
isolation 1
it 5
join 1
joins 1
killed 1
kind 1
knew 1
landscapes 1
large 1
leaves 1
little 1
lives 1
living 1
location 1
love 2
make 1
man 1
manipulate 1
manipulative 1
matter 1
me 1
meanwhile 2
meets 2
men 3
mission 1
moon 5
mostly 1
navy 2
next 1
no 1
none 1
note 1
nothing 1
object 1
of 8
off 1
on 6
one 2
only 1
openly 1
or 2
other 1
out 2
outside 1
over 1
pack 1
participants 1
people 1
perfect 1
person 1
personnel 1
persuade 1
placed 1
playing 1
point 1
possible 1
pour 1
power 1
project 4
prospect 1
quitting 1
reads 1
receivers 1
receiving 1
relationship 2
remain 1
remember 1
removes 1
retain 1
return 1
returns 3
romantic 1
rules 1
run 1
runs 2
safely 1
sane 1
sanity 1
scans 1
second 1
see 1
seems 2
sensory 1
series 1
severe 1
sex 2
share 1
she 1
side 2
simply 1
simultaneously 1
skin 1
sociopath 1
starts 1
state 1
stay 1
stays 1
structure 1
suit 1
takes 2
tells 2
testing 1
that 3
the 30
their 2
then 1
there 2
they 1
thrillseeker 1
through 2
time 2
to 29
together 1
too 1
topsecret 1
torment 1
transmit 1
transmits 1
transmitted 1
transmitter 1
traps 1
tries 1
try 1
two 1
under 1
unknown 1
until 1
us 1
using 2
vincent 1
violating 1
volunteers 2
want 1
wants 1
was 1
way 2
weaknesses 2
weave 1
well 1
were 1
where 2
which 3
while 1
win 1
with 3
within 1
working 1
would 1
young 1
