1178757
/m/04dvpf
/m/04dvpf
George Eliot
1861-04
1th 1
a 17
aaron 2
able 1
accused 1
actions 1
after 1
against 1
aid 2
also 2
among 1
an 2
and 25
are 1
arm 1
arrives 1
as 3
association 1
at 2
attempts 1
away 1
bag 1
be 1
becomes 1
been 2
before 1
behaviour 1
best 1
between 1
birth 1
blooming 1
body 1
bond 1
bottom 1
bouts 1
boy 1
broken 1
brother 1
but 5
by 3
calvinist 1
cant 1
caring 2
cass 4
cassstill 1
casts 1
catalepsy 1
caused 1
celebrates 1
century 1
changes 1
child 6
childfrom 1
childless 1
city 2
clear 1
clues 1
clutching 1
coming 1
completely 1
conceal 1
confesses 1
congregation 2
conscience 1
containing 1
contentedly 1
continues 2
courtesy 1
dane 2
daughter 1
deacon 1
dead 1
deceased 1
decides 1
deep 1
despite 1
destroy 1
details 1
disappears 1
discovering 1
discovers 1
discovery 1
disorientated 1
dissolute 1
dolly 1
down 1
duly 1
dunsey 3
dunstan 2
early 1
earnings 1
elder 1
end 1
england 1
eppie 11
estranged 1
eventually 1
everyone 1
exile 1
existence 2
existing 1
extended 1
fact 1
factory 1
falsely 1
family 2
farren 1
financial 1
first 2
follows 1
for 5
form 1
formerly 1
forsaking 1
found 2
framed 1
free 1
friend 1
friends 1
from 4
funds 1
gentleman 1
gifts 1
given 1
gloom 1
godfrey 8
gold 3
goldenhaired 1
goldis 1
group 1
grows 1
guilty 1
had 1
happened 1
happier 1
happiness 2
harbours 1
has 7
have 1
he 8
heads 1
heart 1
hephzibah 1
her 8
higher 1
him 7
himself 1
his 15
hoarded 1
home 1
hope 1
house 3
however 2
i 1
ill 1
in 13
inclusion 1
inhabitants 1
into 5
is 14
it 1
its 1
joy 1
keep 1
kind 1
know 1
landowner 1
lantern 4
lapsing 1
large 1
later 1
leading 1
leads 1
leaves 1
lent 1
life 3
little 1
lives 1
local 1
low 1
made 2
make 1
marner 4
marriageand 1
married 1
marries 2
marry 2
material 1
mean 1
meanwhile 1
member 1
midlands 1
molly 3
money 2
moral 1
mother 2
mourn 1
move 1
names 1
nancy 4
near 2
neighbour 1
neighbourhood 1
never 1
new 1
night 1
no 4
northern 1
not 1
novel 1
now 2
o 1
occasional 1
of 21
off 1
old 1
on 2
one 2
only 1
opium 1
opiumaddicted 1
over 1
own 3
pass 1
pocketknife 2
politely 1
pride 1
proclaimed 1
prove 1
provided 1
purpose 1
quarry 1
raise 1
raveloe 1
realization 1
recluse 1
refuses 1
relationship 1
replaced 1
resigns 1
resolves 1
rest 1
returned 2
revelation 1
robbed 1
robbery 1
ruin 1
saying 1
scene 1
secret 2
seems 1
set 1
settles 1
shattered 1
she 4
shocked 1
short 1
silas 20
since 1
sinks 1
sister 1
sits 1
sixteen 1
skeleton 1
slum 1
small 1
snow 2
social 1
son 2
south 1
squire 1
standing 1
state 1
stealing 1
still 1
stolen 1
stone 1
street 1
strong 2
suggestion 1
swept 1
symbolically 1
takes 1
tell 1
that 7
the 43
theft 1
their 1
there 1
they 1
think 1
this 3
threatens 1
through 2
to 24
town 3
tracks 1
tries 1
two 1
twoyearold 1
unnamed 1
unusual 1
up 2
upon 1
very 1
village 1
villagers 1
wanders 1
was 3
watching 1
way 2
weaver 1
what 1
where 1
which 1
while 2
who 1
wife 3
william 3
winter 1
with 5
without 1
woman 4
work 1
would 1
yard 4
years 3
young 1
younger 1
