6493890
/m/0g7jgz
/m/0g7jgz
Rod Smith

1000 1
120 1
20 1
24 1
a 14
after 2
alerted 1
all 1
alone 1
always 1
and 9
are 1
arrested 1
arrives 1
as 2
asleep 1
assembles 1
away 1
back 1
bank 5
be 1
begins 1
berlin 3
bills 2
boy 2
but 1
by 3
call 2
capturing 1
careful 1
cash 1
children 1
chocolate 1
cling 1
comes 1
cousin 1
criminal 1
dares 1
dead 1
describing 1
detectives 2
different 1
earnings 1
emil 14
everything 1
exchange 1
falls 1
father 1
feels 1
fictional 1
follow 1
following 1
follows 2
for 3
found 1
friends 1
from 2
gang 2
german 1
gets 2
give 1
gives 1
gone 1
grandmother 2
grundeis 8
gustav 2
had 1
hairdresser 2
have 1
he 9
help 1
her 1
herr 6
him 6
himself 3
his 8
holes 1
home 1
hotel 1
however 1
htchen 1
in 5
intended 1
into 1
introduces 1
is 8
it 1
jacket 2
kind 1
left 1
lining 2
local 4
lose 1
man 2
marks 3
max 1
meets 1
member 1
modest 1
money 6
monthly 1
months 1
monument 1
moral 1
mother 1
mysterious 2
named 1
needle 2
neustadt 2
never 1
new 1
night 1
nose 1
not 2
of 10
off 1
offers 1
officer 1
on 3
once 1
one 1
onto 1
out 2
paint 1
part 1
pin 2
police 2
policeman 1
pony 1
postal 1
proves 1
provincial 1
raises 1
receives 1
red 1
reward 1
robbers 1
run 1
salary 1
save 1
says 1
schoolboy 1
seen 1
send 1
sends 1
service 1
she 1
since 1
smaller 1
so 1
some 1
spots 1
spying 1
stolen 1
story 3
straightened 1
sums 1
taken 1
tell 1
teller 2
tells 1
that 5
the 28
themselves 1
then 1
thief 1
this 1
tischbein 1
to 17
town 1
train 2
tries 3
until 1
up 1
use 1
used 1
uses 1
very 1
wakes 1
was 1
way 1
when 3
where 1
which 1
who 2
with 1
working 1
young 1
