21238800
/m/05c0c0l
/m/05c0c0l
Edith Pargeter
1984
{"/m/02n4kr": "Mystery"}
1141 1
7 1
a 27
ab 6
abbey 7
abbot 2
absence 1
accompanies 1
accompany 1
accuses 2
acknowledge 1
actions 1
admits 1
after 3
against 1
agrees 1
alan 1
alibi 1
alive 1
allied 1
allies 1
allowed 1
almost 2
already 2
also 4
although 1
an 5
and 56
anion 8
another 2
anxious 1
any 2
anyone 1
ap 7
are 12
arguing 1
armed 1
arrive 1
arrives 3
arrow 1
as 15
ask 1
asked 1
asks 4
asleep 1
at 10
atoned 1
atonement 1
attack 2
away 1
back 1
badly 1
battle 1
be 5
been 7
before 2
behind 2
belatedly 1
believes 1
benedictine 2
beringar 11
betrothed 2
between 1
bitterly 1
blind 1
blood 1
body 1
border 1
brawl 1
breaks 1
bringing 1
brings 1
brother 4
bustle 1
but 9
by 9
cadfael 19
cadwaladr 1
came 1
can 1
captains 1
captured 1
carefully 1
carry 1
carrying 1
castle 4
catches 1
cell 1
certainly 1
chagrined 1
chamber 5
charade 1
charge 1
child 1
civil 1
cloak 4
close 1
cloth 4
clothing 1
company 1
compensation 1
concludes 1
confesses 1
confession 1
confirms 1
confronts 1
consent 1
conspire 1
contempt 1
contending 1
contingent 1
convent 4
convict 1
convinced 1
could 2
county 4
court 1
cousin 1
cristina 8
crutch 1
cynan 1
daughter 2
dawn 1
days 2
dead 3
deal 1
death 5
deception 1
declared 1
defeat 1
delay 1
departs 2
deputy 1
dines 1
dinner 1
disastrous 1
discovered 1
dispatches 1
distant 1
does 3
driven 1
drowned 1
each 1
earlier 1
easily 1
edmund 1
effectively 1
einon 17
ejected 1
elis 32
eliud 23
else 1
empress 3
england 3
english 1
ensure 1
enter 2
established 1
establishes 1
even 2
everyone 1
examine 1
examines 1
exasperated 1
exchange 1
exchanged 1
expected 1
failure 1
fallen 2
falls 1
false 1
fastened 1
fatal 1
father 4
fear 1
february 1
few 3
fight 1
find 1
first 1
fit 2
fled 1
flee 1
foot 1
for 21
forces 1
ford 5
formerly 1
fosterbrother 2
found 1
frantic 2
free 1
fresh 1
friend 1
friendship 1
from 12
front 1
future 1
gather 1
gilbert 3
give 1
given 1
go 1
god 1
godric 5
goes 1
gold 3
gone 1
griffri 4
grip 1
groom 1
gruffydd 1
gwynedd 8
had 6
halfbrother 2
halfformed 1
halfwelsh 1
hand 2
hang 1
hanged 2
has 11
haste 1
have 2
he 21
heard 2
heir 1
her 4
herbard 2
him 12
himself 2
his 23
holding 1
holy 1
honour 1
horses 1
hostage 1
hugh 11
identifies 1
identity 1
if 1
ill 1
illegitimate 1
impression 1
in 25
inexperienced 1
