5983051
/m/0fj0kf
/m/0fj0kf
Kristen Britain
2003-08-05
1000 1
a 9
abandoned 1
abandonment 1
ability 1
again 1
against 1
alessandros 1
allows 2
also 2
alton 2
ambriodhe 2
an 3
ancestor 1
and 24
animals 1
another 1
archives 1
arcosia 2
are 4
argenthythe 1
army 1
around 1
as 5
at 1
augments 1
battle 2
becomes 3
begins 1
best 2
betrayed 1
black 4
blackveil 3
book 8
breach 1
bring 1
brought 2
but 2
buys 1
by 3
called 2
can 1
captain 1
castle 1
changes 1
characters 2
cities 1
city 3
comes 1
commit 1
confinement 1
conquer 1
contact 1
control 1
copy 1
country 1
danger 1
dark 1
dead 1
defeated 1
defenders 1
del 1
deposits 1
destroy 1
destroyed 1
destroys 1
develops 1
disappearing 1
dislikes 1
do 1
down 1
drawn 1
during 1
dyer 3
el 2
eletian 3
elite 2
empire 1
end 2
entered 1
entire 1
estral 1
even 3
experiments 2
faces 1
falls 1
father 3
favour 1
feels 1
fex 2
final 1
finds 1
first 2
fix 1
for 4
foreign 1
forest 4
foul 2
found 1
founder 1
friend 1
from 7
fully 1
further 1
future 1
giving 1
gladheon 1
goes 1
green 2
hadriax 9
hand 1
harvest 1
has 6
haywire 1
he 6
help 1
helps 1
her 10
him 5
himself 1
his 8
however 2
human 1
imprisoned 1
in 12
increase 1
increasingly 1
influx 1
instances 1
interesting 2
into 5
introduces 1
iron 1
is 8
it 3
joins 1
journal 3
journals 1
karigan 8
keeping 1
king 2
kingdom 1
knocked 1
land 3
lands 1
largely 1
later 1
lead 2
league 1
learn 1
learned 1
learns 2
left 1
lietenants 1
life 1
lifestyle 1
lil 3
live 1
long 4
longdead 1
loses 1
magic 8
main 1
make 1
man 1
many 1
mapstone 1
mara 1
meets 1
merchant 1
messed 1
messengers 1
met 1
more 1
mornhavon 14
much 1
name 1
new 1
now 1
of 22
once 1
one 2
opens 1
out 1
outlet 1
over 2
overall 1
own 1
palace 1
plot 1
possess 1
possesses 2
power 3
prepare 1
previous 1
prince 2
protected 1
prove 1
quest 1
raises 1
reawakens 1
receives 1
referred 1
resistance 1
restless 1
result 2
return 1
returns 1
rider 4
riders 2
right 1
sacor 1
sacoridia 4
sacoridian 1
sacrifices 1
seargent 1
selium 1
sending 1
sent 1
service 1
shawdell 1
she 2
side 1
singing 1
snow 1
solitary 1
some 1
song 1
spirit 1
star 2
stone 1
story 1
strange 2
suits 1
that 7
the 60
then 2
there 1
they 2
this 7
though 1
threatening 1
through 1
throughout 2
time 4
to 22
too 1
touches 1
transports 1
travel 1
tricks 1
troop 2
turned 1
two 1
ultimate 1
units 1
up 2
uses 1
uxton 1
villages 1
visions 1
visiting 1
wall 5
war 4
was 3
weakening 1
weapon 1
web 1
when 1
which 1
whilst 1
who 3
wild 2
with 5
within 2
without 1
would 1
woven 1
year 1
years 1
you 1
