27143468
/m/0bwg3ng
/m/0bwg3ng
Frank Buck

a 5
aboard 1
accompany 1
adventures 1
and 1
as 1
at 4
away 1
awestruck 1
based 1
book 1
boy 1
buck 4
by 2
certain 1
ceylon 1
characters 1
climax 1
descends 1
end 1
except 1
expedition 1
experiences 1
ferrin 1
for 1
frank 1
fraser 1
fullpage 1
grouped 1
has 1
he 1
hero 1
his 1
illustrations 1
in 1
into 1
introduction 1
is 2
jungle 1
lying 1
maneating 1
might 1
notably 1
of 2
on 2
own 1
pit 1
rawson 1
ship 1
singapore 1
sixteen 1
story 1
stows 1
tail 1
takes 1
that 1
the 6
their 1
thompson 2
tiger 1
tim 2
told 1
villain 1
wait 1
watches 1
who 1
young 1
