3582891
/m/09m_ns
/m/09m_ns
John Steinbeck
1945-01
a 3
an 1
and 6
another 1
are 2
asking 1
becomes 1
been 1
boys 1
cannery 2
characters 1
community 1
concurrently 1
constitute 1
control 1
decide 1
denizens 1
describes 1
do 1
doc 4
effort 1
entire 1
for 2
friend 1
friends 1
good 1
graces 1
has 2
his 2
hits 1
home 1
idea 1
in 2
involved 1
it 1
lab 1
later 1
linked 1
lives 1
mack 3
main 1
make 1
milieu 1
mood 1
nice 2
nine 1
novel 1
of 2
on 2
out 1
party 2
partybut 1
plot 1
premise 1
procession 1
quickly 1
rages 1
return 1
revisited 1
reward 1
row 2
ruinedand 1
should 1
simple 1
something 1
steinbeck 1
subplots 1
sweet 1
thankyou 1
that 2
the 6
their 1
them 1
these 2
they 1
this 2
throw 2
thursday 1
time 1
to 6
trying 1
unfold 1
unfortunately 1
vignettes 1
who 1
with 1
without 1
work 1
years 1
