10313824
/m/02q85__
/m/02q85__
Carolyn Keene
1995-12
a 2
along 1
an 2
and 2
antoinette 1
as 1
assailant 1
at 1
bess 1
can 1
castle 1
computer 1
discovering 1
fayne 1
find 1
friends 1
game 1
george 1
her 1
in 2
inside 1
into 1
is 2
later 1
library 1
made 1
marie 1
marvin 1
must 1
nancy 3
of 2
old 1
passageway 1
pc 1
place 1
play 1
royal 1
secret 1
she 1
survive 1
takes 1
the 4
tower 2
treasure 1
unknown 1
vacation 1
vacationing 1
vandalized 1
was 1
when 1
where 1
while 1
wisconsin 1
with 1
you 1
