1274221
/m/04p7c3
/m/04p7c3
John Gardner
1981
{"/m/06wkf": "Spy fiction"}
00 1
007 1
a 8
abolished 1
abort 1
aid 1
always 1
an 1
and 4
anton 2
are 2
around 1
as 1
ascot 1
assassinate 1
assigned 1
assignment 1
associated 1
at 3
attempts 1
bands 1
be 4
because 1
been 3
before 1
begins 1
behest 1
believing 1
bond 10
brilliant 1
but 1
by 6
called 1
can 1
castle 2
changes 1
code 1
coincidental 1
confidence 1
contact 1
could 1
deal 1
defeated 1
demands 1
did 1
directorgeneral 1
do 1
documents 1
dr 1
duggan 1
ensure 1
eventually 1
fact 1
feigns 1
for 2
fortune 1
franco 6
from 1
gain 1
given 1
has 2
have 2
having 1
he 3
heir 1
hidden 1
hijack 1
him 2
hired 1
his 3
however 1
identified 1
in 5
infiltrate 1
information 1
instead 1
intended 1
investigate 1
is 8
joins 1
jurisdiction 1
kept 1
kill 2
later 1
lavender 2
licence 1
looking 1
m 4
makes 1
me 1
meeting 1
meetings 1
meltdown 1
mentioning 1
mercenary 1
met 1
mi5 4
murcaldy 2
murik 14
named 1
never 1
not 1
nuclear 3
of 4
on 1
one 1
only 1
outside 1
over 1
peacock 1
physicist 1
plan 1
plants 2
power 2
prevented 1
proved 1
pun 1
racecourse 1
reasoning 1
relying 1
reminds 1
renewed 1
requests 1
retains 1
richard 1
safe 1
scotland 2
scottish 1
secret 1
section 1
send 1
she 1
simultaneously 1
since 1
six 2
starting 1
supplied 1
survey 1
take 1
tasked 1
telling 1
terrorist 1
terrorists 2
that 5
the 7
they 1
this 1
thought 1
time 1
to 16
tracked 1
troubleshooter 1
true 1
turn 1
ultimately 1
unknown 1
use 1
village 1
ward 1
was 1
were 1
when 2
where 1
which 1
who 1
with 3
within 1
work 1
world 1
youll 1
young 1
