810224
/m/03dln2
/m/03dln2
Dan Simmons
1991-01
160 1
a 9
adult 1
and 1
animated 1
another 2
appears 2
are 1
as 1
banding 1
be 1
before 1
bizarre 1
blade 1
brother 1
bullies 1
by 1
called 1
can 1
catholic 1
central 1
centuriesold 1
character 2
children 1
city 1
cooke 1
cordie 1
corpse 1
dale 2
darwin 1
dead 1
deceased 1
defeat 1
destroys 1
discovery 1
driver 1
eden 1
eerie 1
elm 2
european 1
events 2
evil 1
familiesand 1
features 1
fires 1
five 1
friends 1
giant 1
grown 1
haunting 1
haven 2
hope 1
illinois 1
in 9
including 1
investigate 1
is 4
it 2
its 1
lawrence 1
mike 1
minor 1
mission 1
monstrosity 1
night 4
now 2
of 9
old 1
on 1
only 1
operatives 1
orourke 1
possibly 1
preteen 1
preteens 1
priest 1
principal 1
protagonists 1
reborn 1
recounts 1
rendering 1
returns 1
roman 1
rows 1
school 3
schoolyard 1
seeks 1
sent 1
sequel 2
serrated 1
serve 1
set 1
sharp 1
simmons 1
soldier 1
stewart 2
summer 3
teacher 2
teeth 1
terrifying 1
that 3
the 11
their 5
them 1
thriller 1
timeand 1
to 5
together 1
town 1
truck 1
unfolding 1
which 2
while 1
who 1
winter 1
with 1
world 1
worms 1
younger 1
