5654742
/m/0dygzp
/m/0dygzp
Arthur Ransome
1988
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 6
adventures 1
after 1
along 1
already 1
amazons 2
an 1
anchor 1
and 10
are 2
arranging 1
as 1
at 2
attempt 1
because 1
behind 1
being 1
boat 3
bored 1
breaks 1
broads 1
business 1
but 1
capsizes 1
captain 2
chain 1
death 2
decide 1
decline 1
delivery 1
develop 1
ds 3
encounter 1
ends 1
fare 1
find 2
flint 2
for 5
get 3
gives 1
glories 2
go 1
gratitude 1
has 1
have 2
having 1
her 1
home 2
houseboat 1
impoverished 1
in 4
including 1
indicate 1
is 1
its 1
journey 1
lake 3
left 2
line 1
loaded 1
lorry 1
make 2
meet 1
mentioned 1
nancy 1
no 1
norfolk 1
north 1
notes 1
of 3
on 3
owner 1
parents 1
pay 1
pays 1
plot 1
point 1
published 1
ransome 1
rescue 1
return 1
reward 1
ride 1
sailing 1
salvage 2
scenarios 1
see 1
squall 1
stop 1
story 1
struggling 1
suitable 1
swallows 2
takes 1
that 2
the 19
their 4
them 2
they 5
this 1
though 1
to 9
various 1
was 1
way 4
when 1
where 1
who 1
without 1
