11475024
/m/02rf512
/m/02rf512
Chuck Palahniuk
2008-05-20
{"/m/06nbt": "Satire", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
137 1
600 1
72 1
a 3
and 5
any 1
appear 1
are 2
as 7
backgrounds 1
be 2
bed 1
cassie 4
chapter 1
child 1
children 1
comeback 1
dictates 1
different 1
discuss 1
divulge 1
dropping 1
each 2
end 1
fallen 1
female 1
filmed 2
follows 2
for 3
former 1
guy 1
harder 1
has 1
her 2
history 2
immortalize 1
in 2
industry 1
into 2
is 2
last 1
men 2
mr 3
next 1
of 4
out 1
porn 2
pornography 2
queen 1
really 1
reason 1
reasons 1
rise 1
room 1
secrets 2
sheila 1
snuff 1
sordid 1
start 2
starts 1
suddenly 1
suspect 1
tensions 1
the 10
their 1
them 1
themselves 1
they 1
things 1
three 2
times 1
to 7
true 2
wait 2
waiting 1
wanting 1
well 2
who 5
with 1
wouldbe 1
wrangler 1
wright 4
year 1
