9199877
/m/02800b5
/m/02800b5
Lauren Weisberger
2005
{"/m/03h09f": "Chick lit", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
160s 1
8 1
a 9
aging 1
ambitions 1
an 1
and 10
anonymous 1
association 1
at 3
attractive 1
author 1
avery 1
back 1
banking 1
be 1
becomes 1
becoming 2
being 1
benefit 1
best 1
bette 4
between 1
bouncer 1
bungalow 1
but 1
by 1
chef 1
choose 1
city 1
co 1
column 1
columnist 1
connect 1
culinary 1
determined 1
direction 1
distant 1
does 2
drawn 1
dreams 1
drinking 1
eating 1
emory 1
engaged 1
entertainment 1
escaping 1
event 1
fashionable 1
find 2
finds 2
firm 2
five 1
for 2
former 1
friend 1
friends 2
from 3
gossip 1
gotten 1
graduated 1
great 1
growing 1
harbors 1
has 2
he 1
her 10
heroines 1
herself 2
high 1
hometown 1
however 1
impress 1
in 4
indulges 1
introduces 1
investment 1
is 4
istanbul 1
job 2
kelly 3
later 1
life 2
like 1
link 1
little 1
meanwhile 1
most 1
much 1
must 1
nationally 1
neither 1
new 2
news 1
night 1
nor 1
novels 1
of 6
on 2
once 1
one 1
online 1
open 1
other 2
out 1
parents 1
parties 1
penelope 4
person 1
phillip 2
planner 1
planning 1
playboy 1
popular 1
poughkeepsie 2
quits 1
radicals 1
regular 1
restaurant 1
right 1
robinson 1
romance 1
romantically 1
sammy 2
secretly 1
seems 1
shaken 1
she 9
shortly 1
since 1
skills 1
small 1
socialite 1
somewhat 1
spots 1
subject 1
suddenly 1
syndicated 1
thanksgiving 1
that 1
the 11
thereafter 1
think 1
tied 1
to 12
too 1
trip 2
turns 1
two 1
ubs 1
uncle 1
until 1
was 1
wealthy 2
weston 1
where 1
while 1
who 2
whose 1
will 1
worked 1
working 1
years 1
