13345541
/m/03c2dgp
/m/03c2dgp
Nicci Gerrard
2003-02-08
{"/m/01jfsb": "Thriller"}
a 2
abbie 1
about 1
all 1
an 1
and 7
any 1
anything 1
as 2
attempt 1
back 2
be 1
been 3
before 1
being 1
believe 1
boyfriend 2
but 1
cant 2
chair 1
changes 1
continues 1
couldnt 1
dark 1
day 1
days 2
deveraux 1
disappeared 1
done 1
dont 1
else 2
ending 1
escape 2
even 1
everything 1
fact 1
fear 1
few 1
find 3
for 2
friends 2
getting 1
girls 1
goes 1
going 1
got 1
had 6
has 1
haunt 1
he 3
her 15
him 1
how 1
image 1
in 3
incident 1
is 1
job 1
kidnapped 1
kidnapping 1
killed 1
knows 2
last 1
lives 1
looking 1
loved 1
man 1
manages 1
may 1
mentioned 1
mysterious 1
not 2
of 3
one 1
ones 1
other 2
prison 1
quitting 1
realises 1
relationship 1
remember 2
seeing 1
she 16
someone 1
steps 1
strange 1
style 1
than 1
that 4
the 6
them 1
there 1
think 1
this 3
tied 2
to 9
tormented 1
trace 1
up 2
wakes 1
wants 2
well 1
what 1
where 2
who 1
with 2
