5192029
/m/0d72kp
/m/0d72kp
Stephen Baxter
2007-12-26
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1 1
2042 1
206 1
31 1
500 1
a 21
abdikadir 1
ablaze 1
act 1
action 1
activating 1
after 6
again 1
against 1
ai 2
aid 1
ais 1
alexander 2
alexei 2
alien 1
all 1
allies 1
almost 1
alone 1
alva 1
american 1
an 4
and 18
animation 1
another 3
antimatterfueled 1
appears 1
approaches 1
are 1
arrives 1
as 4
assassination 1
astronomer 1
at 7
athena 5
attempt 2
attract 1
babylon 3
back 4
be 3
becoming 1
been 5
before 2
begins 1
behind 2
being 2
between 1
big 2
bigrip 1
bisesa 10
bit 1
blue 3
bogey 1
but 3
by 10
called 2
calls 1
capable 1
captured 1
carel 1
center 1
changed 1
characters 1
charlotte 2
chicago 4
cities 1
climate 1
communicate 1
communicating 1
completely 2
connected 1
contacted 1
contained 2
containing 1
copied 1
corrupt 1
cosmologicalweapon 1
council 1
covered 1
creation 2
crush 1
daughter 2
decaying 1
decides 1
destroyed 1
destroying 2
destruction 1
determines 1
did 1
dig 1
discontinuity 1
discovered 1
disrupted 1
dissolves 1
distant 2
diverted 1
during 1
dutt 2
earth 5
edison 1
elevator 1
empire 1
ends 2
engulfing 1
entered 1
escape 1
estranged 1
event 1
exist 1
exterminated 1
eye 5
eyes 3
fact 1
fail 1
failed 1
filling 1
finds 1
first 1
firstborn 5
for 1
forced 1
frequently 1
from 3
frozenover 1
further 1
future 1
gateway 1
geometrical 1
government 1
gravitational 1
gravity 1
great 1
habitable 1
had 6
has 3
having 1
head 1
heavily 1
help 1
her 5
herself 1
his 2
humanity 2
humankind 1
hypotheses 1
icecap 1
in 13
inefficient 1
informed 1
informing 1
informs 1
inhabitant 2
inhabited 1
intelligence 1
intelligent 1
intercept 1
interrupted 1
into 2
investigation 1
invites 1
is 13
it 6
its 2
itself 2
jigsawplanet 1
large 1
last 1
lastborn 1
launch 1
leave 3
left 1
located 1
losing 1
main 1
making 1
managing 1
marduk 1
mars 10
martian 3
martians 3
matter 1
meanwhile 1
menace 1
mir 9
mobile 1
moment 2
mongols 1
mother 1
myra 7
named 1
nearby 1
new 1
nineteenthcentury 1
north 4
not 2
novel 2
nowdivorced 1
object 1
observations 1
observed 1
oceans 1
of 26
oil 1
old 1
on 13
once 1
one 5
only 4
opens 2
or 1
order 1
other 2
over 1
past 1
pattern 2
phone 2
plan 2
planet 8
pocket 1
pole 3
portal 1
preparing 1
probably 1
project 1
prompt 1
promptly 3
proof 1
qbomb 6
quickly 2
rapidly 1
reached 1
reaches 1
real 1
realmars 2
receives 1
reconfigures 1
remaining 1
required 1
research 1
researchers 1
residents 1
retransmitted 1
returning 1
reunited 1
revealed 1
reveals 1
ringing 1
rip 1
riplike 1
save 1
scheme 1
scientists 1
sentient 1
setting 1
settlements 1
shapes 2
she 3
shield 2
should 1
shown 1
slowly 1
small 2
solar 1
sole 1
somehow 1
son 1
space 2
spacecraft 1
spacer 1
sparing 1
stage 1
star 1
station 1
stay 1
sterilized 1
stop 1
storm 1
strikes 1
successful 1
sucked 1
suggestion 1
sunstorm 2
survival 1
survivors 1
suspended 1
switches 1
system 1
systems 1
team 1
temple 1
that 8
the 68
them 4
then 1
there 3
thereby 1
they 4
this 1
thomas 1
through 3
time 1
to 23
transmission 1
transmitted 2
trap 2
travels 1
trenches 1
trip 1
two 2
universe 5
up 1
various 1
vast 1
version 2
very 2
via 1
victory 1
views 1
waking 1
war 1
was 3
way 1
were 1
what 2
which 2
while 2
who 3
with 8
witnessed 1
would 2
years 3
young 2
