27295701
/m/0by1slv
/m/0by1slv
Roger Jon Ellory
2007-08-22
{"/m/01jfsb": "Thriller"}
140s 1
a 8
abducting 1
afterwards 1
and 5
angel 1
angels 1
any 1
as 1
away 1
because 1
began 1
begin 1
begins 1
belief 1
brutally 1
burn 1
committing 1
community 1
daughter 1
devoting 1
down 1
due 1
early 2
family 2
farmer 1
father 2
feather 1
fever 1
form 1
friends 1
from 3
further 1
georgia 1
german 1
girls 2
group 1
growing 1
guardians 1
gunther 1
had 1
harm 1
his 5
home 1
in 4
is 1
joseph 5
killer 1
killing 2
killings 2
known 1
kruger 2
leave 2
likens 1
mainly 1
murders 1
named 1
novel 1
of 3
on 1
passes 1
perspective 1
pillow 1
protect 1
protecting 1
quiet 1
rising 1
rural 1
satisfied 1
second 1
seem 1
serial 1
spree 1
suspect 1
sworn 1
tensions 1
the 10
them 1
themselves 1
to 5
town 2
townsfolk 2
up 1
vaughan 1
war 1
when 1
white 1
whom 1
will 1
with 1
world 1
written 1
young 1
youngest 1
