2861858
/m/087hs5
/m/087hs5
Erich Segal

a 5
ackerman 1
affair 2
after 1
again 1
ago 1
agree 2
airport 1
also 1
an 4
and 5
are 1
as 1
at 2
author 1
beckwiths 2
become 1
been 1
before 1
bringing 1
but 1
by 3
chosen 1
closer 1
come 1
contacted 1
davey 1
day 1
died 1
discover 1
during 1
ending 1
evening 1
explains 1
falls 1
family 1
for 2
france 3
friend 2
full 1
go 1
had 3
has 3
he 4
him 2
his 1
holidays 1
hospitalized 1
however 2
identity 2
ill 1
in 3
interviewing 1
is 5
jeanclaude 7
jessica 1
journalist 1
keep 1
knew 1
last 1
later 1
like 1
live 1
makes 1
mother 1
never 1
nicole 1
not 1
now 1
of 1
one 1
orphan 1
parents 1
paula 1
politely 1
possibility 1
recovery 1
refuse 2
return 1
robert 5
same 1
school 1
secret 1
she 1
sheila 2
situation 1
son 2
speak 1
suddenly 1
summer 2
surgery 1
take 1
tells 1
tempted 1
terms 1
that 3
the 10
their 1
them 1
they 3
this 1
thoughtful 1
through 1
time 1
to 12
true 2
which 1
who 1
whole 1
whom 1
with 4
woman 1
wonderful 1
would 1
years 2
