7842249
/m/026fy56
/m/026fy56
André Franquin
1964

a 5
after 1
an 1
and 4
are 1
as 1
attack 1
back 1
barely 1
becomes 1
bubble 1
buy 1
by 1
captivity 1
causes 1
clear 1
collector 1
conscious 1
count 1
de 1
desperate 1
discovered 1
discret 1
escapes 1
et 1
exposes 1
fantasio 3
feebly 1
film 1
forcing 1
friend 1
from 1
go 1
going 1
gold 2
he 2
helena 2
heroes 1
him 1
his 2
hommesbulles 1
in 4
incidents 1
investigate 1
invoked 1
involving 1
is 5
john 1
la 1
le 2
les 1
marsupilami 1
meets 1
memories 1
men 1
miniature 1
miniatures 2
minisubmarine 1
mission 1
moray 1
more 1
mrflashback 2
murne 1
mystery 1
next 1
no 1
normal 1
of 6
on 1
other 1
own 1
palmsized 1
paralyzed 1
photo 1
playfully 1
prompts 1
question 1
reduced 1
repaire 1
replacements 1
restore 1
sabotage 1
sanity 1
set 1
setting 1
similar 1
somehow 1
spirou 5
statue 1
still 1
store 1
sudden 1
suspect 1
suspicious 1
that 1
the 8
to 8
trend 1
unused 1
warning 1
when 2
which 1
with 1
wreckage 1
