2022663
/m/06ft0h
/m/06ft0h
David Mamet

a 5
able 2
already 1
an 1
and 8
anna 6
another 1
argue 1
arise 1
arrives 1
as 1
assignation 1
at 1
awry 1
be 2
belongs 1
between 1
both 1
brought 1
but 1
by 1
catherine 1
claire 5
compromise 1
conflict 1
delivered 1
dialogue 1
double 1
emerald 1
employer 1
engage 1
entendres 1
explore 1
explores 1
expressions 1
father 1
find 1
focuses 1
for 1
found 1
gentleman 1
get 1
girl 2
go 1
hand 1
harsh 1
has 1
her 6
hold 1
hopes 1
house 1
however 1
humor 1
in 3
is 3
leads 1
line 1
love 4
made 1
maid 2
meet 1
mistress 1
mixed 1
mother 1
necklace 1
negotiation 1
new 2
nuance 1
of 2
on 3
other 1
out 1
over 1
persuade 1
plans 1
play 2
plot 1
profession 1
quick 1
rebukes 1
recognizes 1
reconciliation 1
relationship 2
scottish 1
she 1
talk 1
tears 1
tense 1
that 4
the 11
their 2
things 2
through 2
to 11
tries 1
two 2
unfaithful 1
verbal 1
vernacular 1
victorianera 1
vile 1
way 1
wealthy 2
wearing 1
when 1
whether 1
while 1
will 2
with 2
witty 1
woman 1
women 1
young 2
