360245
/m/01_c2p
/m/01_c2p
Ernest Hemingway

{"/m/016lj8": "Roman \u00e0 clef", "/m/0dwly": "Children's literature", "/m/05hgj": "Novel", "/m/02xlf": "Fiction"}
120s 1
1yearold 1
a 12
about 1
affair 1
affairs 1
after 1
aftermath 1
again 1
also 1
american 1
among 1
an 2
and 15
announces 1
antisemitic 1
arrived 1
arrives 1
as 1
ashley 1
asking 1
at 2
attend 1
back 1
barnes 1
bayonne 1
be 1
been 2
begin 1
bicker 1
bill 4
bobbed 1
book 3
boxer 1
brett 11
brilliantly 1
builds 1
bullfights 1
bullring 1
bulls 1
burguete 1
but 1
by 2
caf 1
campbell 2
caused 1
champion 1
chance 1
characters 2
cheap 1
cohn 7
college 2
continues 1
count 1
days 1
decided 1
described 1
despite 2
drink 2
during 1
each 2
earlier 1
eat 1
embodies 1
ends 1
engagement 1
englishwoman 1
enjoy 1
expatriate 1
explicitly 1
feels 1
few 1
fianc 1
fiesta 2
finds 1
fishing 2
fistfights 1
five 1
for 5
freedom 1
friend 1
from 3
georgette 1
go 1
goes 1
gorton 1
group 1
had 4
hair 1
has 3
have 2
having 1
he 4
heavily 1
help 1
her 4
him 5
his 2
hotel 2
however 1
impotent 1
in 16
increasingly 1
injures 1
injury 1
into 1
introduces 1
is 8
jake 13
jealous 1
joined 1
journalist 1
know 1
lady 1
lasting 1
leave 2
leaves 1
left 1
living 1
love 3
loves 1
madrid 1
matador 1
meet 1
men 1
might 1
mike 6
mippipopolous 1
money 1
montoya 1
nature 1
near 1
new 2
nightclub 1
no 1
north 1
northeastern 1
not 1
novel 2
numerous 1
of 10
one 1
opening 1
other 1
others 1
pamplona 4
paris 4
perform 1
picks 1
plays 1
possessive 1
presence 1
prostitute 1
protagonist 1
receives 1
recently 1
rejoin 1
relationship 1
remarks 1
resented 1
return 1
returns 1
rises 1
robert 2
romero 6
running 1
runs 1
san 1
scenes 1
scotland 1
sebastin 1
seduces 1
set 1
sexual 1
she 6
shows 1
smitten 1
sober 1
society 1
spain 2
speaking 1
stays 1
still 1
streams 1
suffered 1
sun 1
taunt 1
taxi 2
telegram 1
tells 1
tennis 1
tension 2
that 2
the 25
they 6
things 1
three 1
to 13
together 1
tranquility 1
travel 1
trip 1
twicedivorced 1
two 1
up 1
wait 1
war 1
watch 1
weeks 1
where 2
which 1
who 3
whom 1
with 10
without 2
wound 1
york 1
