15931932
/m/03qhcvj
/m/03qhcvj
Maria V. Snyder
2005-10
{"/m/01hmnh": "Fantasy"}
a 3
abilities 3
acceptance 1
against 3
an 1
and 13
antidote 1
are 2
as 2
assassin 1
be 2
behind 1
being 1
bending 1
born 1
brazell 3
but 5
butterfly 1
by 1
cannot 1
capture 1
cause 1
causes 1
children 3
coming 1
commander 5
control 2
day 1
death 4
defeat 1
defense 1
delays 1
despite 2
developing 2
die 1
discover 1
discovers 1
doesnt 1
dust 1
end 1
enough 1
escape 1
especially 1
ever 1
every 1
everyone 1
family 1
fed 1
feelings 1
find 1
fist 1
fled 1
food 1
for 8
from 3
general 2
hand 1
has 3
have 1
having 1
her 10
herself 1
him 1
his 2
hopes 1
if 1
illegal 1
in 5
including 1
inflexible 1
influence 1
into 1
iron 1
is 4
it 3
ixia 4
keep 1
kidnapped 1
kidnapping 1
killing 1
land 1
learn 1
leave 1
long 1
magic 5
magical 3
magician 2
man 1
many 2
mind 2
must 2
nervously 1
not 3
of 7
only 1
opened 1
order 1
other 2
pleased 1
plot 2
prevent 1
prison 1
promises 1
protect 1
protection 1
put 1
return 1
right 1
rogue 1
role 1
rules 2
secret 1
self 1
she 10
sitia 3
slowly 1
son 1
souls 1
stolen 1
strong 1
take 1
taster 1
that 4
the 18
their 1
those 1
to 14
under 1
unfortunately 1
united 1
up 1
use 2
users 1
valek 5
want 1
was 2
well 1
where 1
which 1
who 3
whose 1
will 1
with 3
without 1
woman 1
yelena 6
young 1
