1184751
/m/04fd7x
/m/04fd7x
Moyra Caldecott
1986-06-12
{"/m/03g3w": "History", "/m/014dfn": "Speculative fiction"}
a 5
about 2
alive 1
amun 1
an 2
and 3
are 1
astraltravel 1
at 1
be 1
becomes 1
before 1
begins 1
boy 1
bringing 1
brought 1
by 1
century 1
challenge 1
chamber 1
companion 1
days 1
despair 1
enough 1
extraordinary 1
farmlands 1
female 1
figure 1
follows 1
for 2
god 1
gods 1
hatshepsut 1
he 2
high 1
him 1
his 1
honoured 1
important 1
in 1
into 1
king 2
lifegiving 1
lonely 1
may 1
medium 1
nile 1
of 5
or 1
oracle 1
pharaoh 1
plead 1
powerful 1
priests 1
prominence 1
pyramid 1
realms 1
revolution 1
rich 1
rise 1
sealed 1
silt 1
so 1
story 2
suffering 1
that 1
the 12
this 1
three 1
through 1
time 1
to 6
until 1
waters 1
with 1
