14526487
/m/03d6f1z
/m/03d6f1z
James Baldwin
1968
{"/m/05hgj": "Novel"}
a 9
actor 2
advocates 1
african 1
africanamerican 1
all 1
american 1
an 1
and 10
anger 1
are 3
around 1
artistic 1
as 1
at 2
attack 2
barbara 5
before 1
bisexuality 1
black 3
book 1
both 1
brother 1
but 2
caleb 3
centers 1
choosing 1
christianity 1
christopher 5
conquers 1
conversion 1
creates 1
creating 1
due 1
each 2
emotional 1
encounter 1
end 1
event 1
eventually 1
explaining 1
exploratory 1
falsely 1
figure 1
foil 1
for 9
friend 1
friends 2
from 3
fundamentalist 1
god 1
greenwich 1
grew 1
harlem 1
harshly 1
has 1
have 1
he 2
heart 2
her 1
him 1
his 4
imprisoned 1
in 4
intertwined 1
into 1
is 4
isolates 1
it 2
jerry 1
joined 1
judges 1
just 1
justice 1
kingdom 1
later 1
leo 10
life 3
lifemdashsometimes 1
like 1
love 1
lovers 1
man 2
means 1
mostly 1
moved 1
much 1
narrated 1
not 2
novel 4
of 6
on 1
one 2
only 1
over 1
painfully 1
partner 1
partners 2
political 1
present 1
pressures 1
proudhammer 1
racial 2
recovers 1
relationship 1
religion 1
remain 1
retrospect 1
returns 1
revealed 1
reveals 1
revolution 1
setting 1
sex 1
sexual 2
significant 2
society 3
sometimes 1
stage 2
stories 1
story 1
struggle 1
tense 1
the 16
their 2
them 1
this 1
through 1
throughout 1
to 4
up 1
vet 1
village 1
violent 1
was 2
what 1
when 1
which 1
while 2
white 3
who 1
with 1
woman 1
world 1
wwii 1
young 1
