4573961
/m/0c9knc
/m/0c9knc
Isabel Allende
2002
15 1
a 21
able 1
about 1
accompanying 1
actually 1
afraid 1
after 6
again 1
agree 1
agreement 1
airlifted 1
airport 1
alex 15
alexander 1
all 3
alone 1
along 1
amazon 1
amazonian 1
amount 1
an 5
anaconda 1
ancient 1
and 29
announces 1
another 1
anthropologist 1
apartment 1
are 9
area 1
ariosto 4
arrival 1
arrive 1
arrives 2
as 5
ask 1
assistant 2
assumes 1
at 4
attacked 1
attracts 1
away 1
back 4
be 7
beast 2
beasts 6
beautiful 1
bed 1
been 2
befriends 1
begins 1
being 1
belonged 1
belonging 1
best 2
blocks 1
boat 1
both 2
brazilian 1
breaks 1
briefly 1
bruce 1
but 3
by 17
can 1
cancer 1
captive 1
capture 1
careful 1
carias 4
carla 1
caves 1
ceremonies 1
ceremony 1
cesar 2
chief 1
children 4
city 6
clan 1
climb 1
climbing 1
clothes 1
cold 2
colda 1
collecting 1
coming 1
confusing 1
considered 1
constantly 1
contained 1
convinces 1
correctly 1
creatures 2
crisis 1
crystal 2
dart 1
daughter 1
deadly 1
death 2
decide 2
deep 1
department 1
desperate 1
despite 1
destination 1
destroy 1
diamonds 1
dies 1
discover 1
do 2
dorado 2
doses 1
down 1
dr 1
drawing 1
drug 1
due 1
during 4
eagle 4
eccentric 2
eggs 2
el 2
embark 1
end 1
ends 1
entrance 1
entrepreneur 1
epic 1
escape 1
everyone 3
exchange 1
expedition 7
eye 3
fallen 1
family 1
famous 2
farther 1
fearing 1
feels 1
fifteen 1
fighting 1
finds 1
firstly 1
flee 1
flute 5
follows 1
fool 1
for 8
forced 1
foreigners 1
forest 2
forever 1
foundation 1
friends 1
from 3
fullfledged 1
function 1
fund 1
funeral 2
gained 1
geographic 1
get 1
giant 2
gifts 1
girl 3
given 6
gives 4
giving 1
gods 1
going 1
gold 1
gonzalez 3
grandfather 2
grandmother 4
grandmothers 1
great 1
greatly 1
group 4
guide 2
gunfight 1
had 2
hands 1
happen 1
happiness 1
has 1
he 8
head 1
heights 1
help 2
her 9
him 5
his 22
home 1
hoped 1
hospital 2
how 1
however 2
if 1
important 1
in 9
inactive 1
indians 4
indigenous 1
influence 1
inhabitants 1
initiated 1
inside 1
intentions 1
interest 1
international 1
into 5
is 25
isnt 1
it 4
its 1
jaguar 5
joel 3
join 1
joseph 1
journey 1
jungle 1
karakawe 1
kate 4
keep 1
kidnap 1
killed 2
knocked 2
labyrinth 1
later 1
lava 1
leave 2
leaves 1
leblanc 1
left 1
life 1
like 1
live 3
living 1
located 1
long 1
look 1
loss 1
luckily 1
ludovic 1
made 1
magazine 2
man 1
manage 2
manhood 1
mauro 1
meanwhile 1
measles 1
meet 1
meeting 1
meets 1
member 1
members 2
memory 1
men 1
mid20s 1
mist 4
mokarita 2
mom 1
money 3
morgana 1
mortally 1
mother 2
much 1
music 1
must 2
muster 1
mysterious 2
mystic 1
nadia 7
named 1
natives 1
nearly 1
necklace 1
new 2
no 1
of 37
off 2
officer 1
old 1
omayra 1
on 2
once 1
one 2
only 2
out 4
over 1
pack 1
parents 1
part 2
passage 1
people 5
peoples 1
photographer 2
physician 1
plan 1
plays 1
pleading 1
poems 1
poisoned 1
power 1
precious 1
predecessors 1
problem 1
process 1
protect 1
protecting 1
protection 1
protective 1
put 1
pyre 1
quickly 1
rainforest 1
reach 5
realize 1
really 2
receive 1
receives 1
recited 1
relieve 1
remaining 1
remembering 1
reporter 1
rescue 1
responsible 1
rest 2
returning 1
revealed 1
reveals 1
rite 1
rock 1
saddened 1
safe 1
sale 1
santos 2
save 1
scientists 1
secondly 1
send 2
sends 1
sent 4
serious 1
serve 1
set 1
several 3
shaman 1
she 3
shortly 1
shot 2
sisters 2
skills 1
sloths 1
smell 1
smoke 1
soldier 1
soldiers 2
someone 1
something 1
soon 1
spirit 1
stay 1
steals 1
stench 1
story 1
such 1
take 1
taken 1
takes 1
taking 1
talks 1
task 1
tedium 1
tells 1
tempered 1
texas 1
than 1
that 10
the 100
their 9
them 8
then 1
these 2
they 21
thing 1
things 1
this 2
three 1
through 3
time 1
timothy 1
to 41
top 2
torres 1
totem 2
toward 1
traditional 1
travel 1
traveling 1
treat 1
tribe 1
trip 1
try 1
tunnels 1
turn 1
turns 1
two 3
uncomfortable 1
unconscious 1
unfortunately 1
unusual 1
up 4
upon 2
upriver 1
vaccinate 1
vaccinations 1
vaccines 1
venezuelan 1
very 1
village 2
virus 1
vision 1
visit 3
volcano 1
walimai 3
walk 1
warn 1
was 4
watching 1
water 1
waterfall 1
welcomed 1
were 1
western 1
what 1
when 5
which 8
while 2
who 10
wife 1
will 4
with 13
within 1
woods 1
world 3
would 1
wound 1
wounded 2
years 2
york 2
younger 1
