4241101
/m/0brrwy
/m/0brrwy
Conor Kostick

{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 34
ability 1
about 1
actually 1
advance 1
affect 1
again 2
against 2
all 6
allocations 4
almost 1
also 1
amounts 1
an 3
and 21
another 1
are 7
arena 2
as 10
assault 1
attack 1
attempts 1
avatar 5
avatars 1
balance 1
battle 1
be 1
beauty 3
because 1
become 3
before 1
begin 2
begins 1
benefit 1
between 1
bezants 1
bland 1
book 2
boy 1
building 1
but 5
by 4
c 4
called 1
can 2
careers 1
cause 1
central 5
challenge 2
challenges 4
character 3
characters 5
choose 1
chosen 1
cindella 1
citizens 1
class 1
community 2
completely 1
conflict 1
consider 1
considered 1
continue 1
control 1
controls 1
convention 1
could 1
curiously 1
currency 1
dares 1
dark 1
defeat 1
deliberatly 1
desire 2
determined 1
developed 1
directly 1
disaster 1
discontent 1
dragon 4
dream 1
during 1
dying 2
each 3
earn 1
earth 4
echoes 1
elf 1
emerged 1
encounters 1
end 1
ending 1
enough 1
entire 2
epic 10
equipment 1
erik 10
escaped 1
especially 1
events 1
everquest 1
everything 1
evil 1
executioner 1
exile 1
exiled 2
existence 1
existing 1
explained 1
expression 1
extreme 1
extremely 1
famous 1
fantasy 1
father 1
fed 1
female 1
fields 1
fight 1
fighting 1
figure 1
final 1
finding 1
follows 1
for 3
four 1
freed 1
friends 3
from 5
fully 1
funds 1
future 1
gains 1
game 18
generic 1
get 1
given 1
go 1
gone 1
gray 1
great 1
grind 1
group 2
growing 1
guards 1
had 4
harald 4
has 3
have 5
having 3
he 5
held 2
help 2
hidden 1
his 16
hit 1
hoard 1
hoping 1
hours 1
however 1
human 1
identified 1
if 4
illegal 1
implications 1
impossible 1
in 25
incidently 1
including 2
income 1
indeed 1
individuals 1
inexplicably 1
inhabitants 1
inherited 1
inherits 1
injustice 2
inryaat 2
into 2
investment 1
involvement 1
is 14
it 2
items 1
its 4
itself 3
kill 1
last 1
law 1
leaving 1
life 3
lives 1
local 1
lose 2
making 1
man 1
many 2
massive 1
material 1
may 1
meaning 1
medical 1
member 1
members 1
million 1
money 3
more 3
most 4
much 2
named 2
nearly 2
never 1
new 5
nine 1
no 1
normal 1
number 1
object 1
obtain 1
of 33
once 1
one 1
opens 1
opposing 2
or 4
order 1
other 2
out 2
outoftheway 1
outside 1
over 2
owns 1
parents 2
people 2
perceived 1
person 1
persona 1
play 5
played 1
players 3
plight 1
plot 1
point 1
points 1
poor 2
population 1
power 1
powerful 4
predominate 1
procedure 1
progressed 1
propels 1
put 1
quick 1
ragnok 2
real 2
red 3
redress 1
reflects 1
remain 1
represents 1
resources 1
respond 1
result 2
results 2
revenge 1
revolutionise 1
rewards 1
rich 1
richest 1
riskavoiding 1
role 1
same 1
save 1
scratch 1
seems 1
select 1
series 1
severity 1
sexual 1
sides 1
simply 2
since 1
sinister 1
slain 1
slowly 1
small 1
so 1
social 1
society 1
some 2
special 1
spent 1
squandering 1
standing 1
story 1
strategies 1
study 2
studying 1
swashbuckler 1
takes 1
tale 1
team 1
teams 1
teenagers 1
than 1
that 5
the 61
their 4
them 2
then 2
these 2
they 6
this 2
those 1
though 1
thousand 1
to 31
treasure 1
treasures 1
treated 1
treatment 1
try 1
trying 2
twist 1
two 1
unbeatable 1
unexpected 1
unique 1
university 1
unjust 1
unknown 3
unless 1
up 2
used 2
usual 1
vampyre 3
various 1
victory 1
violence 1
virtual 1
want 1
warcraft 1
was 2
waste 1
wasted 1
way 2
weak 1
wealth 4
what 1
where 3
which 7
while 1
who 2
wife 2
win 1
wishes 1
with 8
world 7
years 1
yields 1
you 8
your 1
