3114677
/m/08s9v5
/m/08s9v5
Charles Sheffield
1995
a 4
able 1
after 1
an 3
and 2
another 1
apprenticeship 1
asteroid 3
asteroids 1
away 1
be 1
begins 1
belt 2
bonus 1
book 1
claim 1
common 1
corporation 1
current 1
denominator 1
earth 3
education 1
encourages 1
examination 1
expulsion 1
facility 1
family 1
financial 1
follows 1
for 2
former 1
from 1
get 1
grueling 1
high 1
him 1
himself 1
his 2
in 4
infiltrate 1
initial 2
initiativedeadening 1
interest 1
is 2
its 1
job 2
join 1
longer 1
looking 1
lowest 1
means 1
mining 2
no 1
of 3
on 3
one 1
orbit 1
pandering 1
period 1
primary 1
program 1
progress 1
proving 1
recruited 1
rick 3
secret 1
since 1
space 1
subvert 1
systems 1
teachers 1
that 1
the 5
their 1
through 2
to 5
training 2
vanguard 1
welfare 1
whose 1
will 1
