14894118
/m/03h0rd9
/m/03h0rd9
William Sleator

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 2
accompanying 1
according 1
altered 1
ambrose 1
and 9
animal 1
are 1
barry 2
belong 1
between 1
brothers 2
building 1
called 1
change 1
cobwebfilled 1
competition 1
contents 1
cute 1
decision 1
died 1
discover 1
eccentricities 1
enters 1
escalates 1
examine 1
explain 1
explore 1
find 2
forever 1
greatuncle 2
harry 3
has 1
his 1
home 1
house 2
identical 1
illinois 1
inside 2
is 1
its 1
keys 1
learn 1
lives 1
lucy 1
makes 1
may 1
metalreinforced 1
mother 1
mysterious 2
nature 1
neighbor 1
now 1
objects 1
odd 1
of 3
other 1
outside 1
playhouse 3
possessions 1
properties 1
quirky 1
relationship 1
residence 1
rivaling 1
sixteenyearold 1
skeletons 1
small 1
sushan 1
that 3
the 13
their 6
they 1
time 1
to 4
travel 1
twins 3
uncle 1
when 2
which 1
will 1
