779580
/m/03bqfh
/m/03bqfh
Allen Hammack

14 1
14th 1
2 1
3 2
35 1
5 1
6th 1
7th 1
8th 1
a 9
adventure 2
alakbar 3
alfarzikh 1
amassed 1
amhara 1
an 2
and 4
arabian 1
arabic 1
arir 1
artifact 1
artifacts 1
assassin 2
battle 1
behind 1
beyond 1
by 1
can 1
capital 1
chapter 1
characters 4
city 3
classwikitable 1
confrontation 1
could 1
country 1
crawling 1
crescent 1
cup 2
cure 1
day 1
deadly 2
describes 1
desert 4
detective 1
dog 1
dungeon 1
encounters 1
entrance 1
ever 1
fallen 1
final 1
find 2
for 2
from 2
glossary 1
greatest 1
had 1
hand 1
has 1
he 1
holy 2
home 1
if 1
illustration 1
in 6
including 1
infidels 1
into 1
introduction 1
involves 1
is 1
journey 1
khaibar 5
killed 1
land 4
lands 1
left 1
level 5
mad 1
magic 2
magical 1
men 1
module 1
must 2
nightsstyle 1
of 11
once 1
one 1
page 1
palace 3
peaceful 1
plague 4
player 3
players 1
prerolled 1
pullout 3
red 1
retrieving 1
riddle 1
ruler 1
save 2
scenario 1
search 1
section 3
set 1
sewer 1
sewers 2
some 1
stores 1
sultan 4
sweeps 2
talisman 2
talismanm 1
terms 1
the 28
their 1
they 1
thief 1
this 1
to 3
tomb 1
tombrobbing 1
town 1
treasure 1
under 1
useful 1
user 1
user16th 1
vahtak 1
walls 1
was 1
where 1
which 3
wilderness 1
witch 1
work 1
your 1
