2357280
/m/076724
/m/076724
Carol Emshwiller
2002
a 4
after 1
against 1
alien 1
all 1
an 1
and 3
anything 1
apparent 1
are 1
as 4
assaults 1
because 1
betraying 1
born 1
breed 1
by 1
centuries 1
charley 5
earth 1
eg 1
either 1
escaped 1
ever 1
existed 1
father 2
first 1
firstperson 1
for 3
formerly 1
guards 1
have 2
he 2
heir 1
help 1
heron 2
his 3
home 1
hoot 1
hoots 5
horses 1
humans 4
in 2
is 3
keep 1
kept 1
known 3
lead 1
life 1
like 2
maintain 1
man 1
mary 1
master 1
masterslave 1
mated 1
meets 1
merry 1
might 1
mount 3
mounts 2
name 1
narrator 1
natural 1
no 1
on 1
one 1
only 1
or 1
own 1
pastoral 1
people 1
planet 1
race 1
relationship 1
resisting 1
resists 1
return 1
riding 1
running 1
seattle 1
seek 1
separated 1
smiley 1
soon 1
stables 1
systems 1
that 2
the 13
their 2
time 1
to 3
unify 1
used 1
was 1
way 1
were 1
when 1
where 1
who 2
with 1
world 2
young 1
