4908539
/m/0ctp6b
/m/0ctp6b
Dean Koontz
1981
a 3
amnesic 1
an 2
and 1
appears 1
are 1
as 1
ax 1
begin 1
behind 1
blonde 1
bloody 1
busy 1
carol 1
child 1
come 1
couple 1
day 1
dead 1
drawn 1
face 1
from 1
ghastly 1
girl 2
had 1
has 1
hauntings 1
her 3
hiding 1
in 5
is 3
jane 1
just 1
love 1
married 1
mask 1
middle 1
mirrorand 1
more 1
need 1
never 1
night 1
noises 1
of 3
on 1
or 1
orphan 1
paul 1
razor 1
seeing 1
sharp 1
she 2
sinister 1
something 1
take 1
the 8
then 1
they 2
to 1
traffic 1
where 1
who 1
