25123229
/m/03gqt9r
/m/03gqt9r
Benjamin Zephaniah
1999-07-09
a 8
accept 1
acceptancethe 1
accident 1
acquaintance 1
after 1
allowed 1
an 2
and 9
are 4
area 1
as 1
at 2
attains 1
be 1
book 1
burns 1
by 2
car 2
club 1
deal 1
difficulties 1
disfigurement 1
disfigurements 2
driver 1
east 1
evening 1
eventually 1
face 1
faced 1
facial 1
fairly 1
family 1
friends 3
from 2
girlfriend 1
has 1
he 2
his 6
home 1
how 1
however 2
humans 1
in 3
is 2
isolation 1
it 1
lead 1
leading 1
leaving 1
level 1
life 2
london 1
loss 1
makes 1
martin 3
minute 1
multicultural 1
new 1
newham 1
next 1
normal 2
of 3
offered 1
on 1
one 2
overcomes 1
people 2
personal 1
police 1
portrayed 1
portrays 1
protagonist 1
rap 1
reaction 1
results 1
ride 1
ridicule 1
rough 1
school 1
seeing 1
severe 1
should 1
shows 1
stared 1
still 1
stolen 1
suffers 1
teased 1
teenager 1
the 6
they 3
to 3
too 1
turner 1
typical 1
which 2
with 3
