82163
/m/0l3jh
/m/0l3jh
Auguste Maquet
1844
{"/m/01qxvh": "Romance novel", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/0hwxm": "Historical novel"}
00000 1
1815 1
50000 1
5000000 1
a 44
abandoning 1
abb 3
able 1
about 2
access 1
accusing 1
acquainted 1
addressed 1
admits 1
affair 2
affections 1
africa 1
after 12
afterwards 1
against 1
agent 1
agreement 1
alarms 1
albert 9
ali 2
alive 1
all 7
allows 2
also 2
among 1
an 11
and 78
andrea 9
announces 1
anonymous 2
anonymously 1
another 1
any 1
apology 1
appear 1
appears 1
are 2
arrangement 1
arranges 1
arrest 1
arrested 1
as 10
assassinated 1
at 7
attempt 2
attempting 1
authorities 1
awaiting 1
aware 1
away 1
back 2
bad 1
bandit 1
banish 1
banker 1
banking 1
bankruptcies 1
bankruptcy 2
baron 2
barrois 2
be 7
beautiful 1
became 1
become 2
becomes 4
been 4
before 5
befriends 1
begins 2
begs 2
being 2
believed 1
believing 2
benedetto 3
bertrand 1
bertuccio 4
betrayed 1
betroths 1
blackmails 1
blames 1
board 1
bonaparte 1
bonapartist 2
bonapartists 1
bond 2
both 2
bought 1
box 3
brought 3
build 1
burial 1
buried 1
bury 1
busoni 2
but 7
buys 3
by 20
caderousse 14
can 3
cancelled 1
cancelling 1
captain 2
captured 1
cargo 1
cause 1
causes 1
cavalcanti 2
cell 1
challenges 1
chance 2
change 1
charged 1
charming 1
child 2
choice 1
chteau 2
city 1
claims 2
clear 1
clerk 1
close 1
colleague 1
combined 1
comfort 1
commit 1
commits 1
committing 1
compigne 1
condemns 1
conducted 1
confronted 1
confronts 2
conscience 1
containing 1
contemplates 1
continually 1
convinces 1
cornered 1
could 1
count 25
couple 1
court 1
cousin 1
crass 1
credit 2
crimes 2
criminal 1
cristo 6
crown 1
danglars 18
dants 35
daughter 3
dazzles 1
de 3
dead 3
death 4
deathbed 1
deaths 1
debts 3
declared 1
delay 1
deliver 1
delivered 1
demand 1
demands 1
depart 1
departs 1
deposit 1
deputy 1
desire 1
despairs 1
destination 1
destroyed 1
destroys 2
diamond 1
dictate 1
did 2
dies 2
dif 2
dinner 3
disappear 1
discovers 1
disgrace 2
disgraced 1
disguised 1
disinherited 1
disown 1
do 1
doing 2
douard 3
downfall 1
dpinay 3
driven 1
drives 1
du 1
due 1
duel 2
during 3
dying 1
each 1
earlier 1
edmond 1
education 1
either 1
elba 3
embezzles 1
employer 1
end 1
endless 1
enemies 3
enemy 1
engagement 1
enlists 1
entire 1
erstwhile 1
escape 1
estate 1
eugnie 1
eve 1
even 1
event 1
events 1
eventually 2
exchange 1
execution 1
exiled 2
exorbitant 1
explains 2
exposes 1
exposing 1
extend 1
extension 1
extensive 1
eyes 1
failed 1
fails 1
fakes 1
false 1
family 1
far 2
faria 4
fatally 1
father 7
fellow 1
fernand 10
fiance 1
finally 2
find 2
firm 1
first 3
five 1
fleeing 1
flees 2
focus 1
food 1
for 11
forced 1
forces 1
forgive 1
forgives 1
fortune 6
found 3
fourteen 1
francs 3
franz 2
free 1
freed 1
freedom 2
friendship 2
from 10
fulfill 3
full 1
fund 1
funeral 1
galleys 1
get 1
gets 1
given 1
gives 3
giving 2
goes 3
gone 1
government 1
grandfather 1
granted 1
grimly 1
grounds 1
grown 1
guards 1
guilt 1
guise 1
had 7
has 9
have 4
having 1
hayde 4
he 30
heart 1
helps 1
her 15
hides 1
hiding 1
him 23
himself 5
his 60
hlose 6
holding 1
home 1
honour 1
hoping 1
hospital 1
hospitals 2
hosts 1
house 5
how 1
however 1
husband 1
i 1
identifying 1
identity 5
if 1
impending 1
impostor 1
imprisoned 1
imprisonment 5
in 28
infant 4
ingratiates 1
inherit 1
inherits 1
initially 1
injury 1
innocently 1
insane 1
instead 1
intentions 1
intervention 1
interview 1
into 3
introduced 1
introduces 1
introduction 1
investigate 1
invites 1
is 36
island 3
it 5
italy 1
janina 1
jealous 1
joy 1
just 1
kidnapped 1
killed 1
killer 1
kind 1
knew 1
knowing 1
knowledge 2
knows 1
laden 1
landscaping 1
large 1
last 1
late 1
later 3
lead 1
learning 2
learns 7
leave 3
leaves 2
leaving 1
leclre 2
left 2
letter 4
life 8
live 1
living 3
location 1
lord 1
lost 1
love 2
luck 1
luigi 2
mad 2
madame 4
make 1
makes 1
making 1
man 1
manages 1
manipulates 2
manipulation 1
market 2
marriage 2
marry 1
marseille 5
marshall 1
massive 1
matter 1
maximilien 4
may 1
meanwhile 2
meets 1
men 1
mercds 9
merchant 1
might 1
million 2
moment 1
moments 1
money 1
monte 6
month 1
months 3
morcerf 4
more 1
morrel 8
mother 2
moves 1
murderer 1
mysterious 1
mysteriously 1
name 2
napoleon 1
napolon 1
nearby 1
nearly 1
neighbour 1
neither 1
new 3
newly 1
newspaper 1
no 1
noirtier 7
nor 1
not 3
note 1
notes 1
now 5
objects 1
obligations 1
of 52
offers 1
old 1
on 13
once 1
one 2
only 3
or 2
ordeal 1
order 2
other 1
others 1
outstanding 1
own 3
package 1
paid 1
parents 1
paris 4
parisian 1
party 2
pasha 1
past 2
pay 1
payment 1
peace 1
people 1
perhaps 1
person 1
persuades 1
persuading 1
place 1
plan 2
plans 1
pledges 1
poison 3
poisoned 1
poisons 1
portion 1
poverty 1
power 1
pregnant 1
presents 1
presumed 1
prevent 1
prices 1
priest 1
prime 1
prison 3
prisoner 1
procureur 1
prosecutes 1
prosecutor 1
prosperity 1
public 2
publicly 1
published 1
purchases 1
puzzles 1
quickly 1
rapid 1
rapidly 1
real 1
reasons 1
reassured 1
rebuild 1
rebuilt 1
receipt 1
recently 1
recognize 2
recovering 1
redeem 1
referred 1
reinstated 1
rejoices 1
release 1
remainder 1
remains 1
removed 1
repay 1
repents 1
reputation 1
rescued 4
rescuing 1
researching 1
responsible 1
rest 2
result 1
resuscitate 1
returned 2
returning 1
returns 3
reunited 1
reveal 1
revealing 1
reveals 5
revelations 1
revenge 3
revisits 1
reward 1
rhetorical 1
rich 1
rise 1
rival 1
rob 1
roi 1
rome 2
ruin 1
ruler 1
rushes 1
sack 1
sailor 1
saintmrans 3
same 3
saved 1
saves 1
sea 1
second 1
secret 1
secretly 3
seeks 1
seemingly 1
send 1
senior 1
sensation 1
sentenced 1
sentiments 1
sequence 1
servant 2
several 2
she 4
ship 1
ships 1
shock 1
sign 1
signal 1
signs 1
silence 1
sisterinlaw 1
six 1
slavery 1
smugglers 2
smuggling 1
so 5
society 1
sold 1
soldier 1
solitary 1
son 10
spare 1
sponsored 1
stabbed 2
stage 1
stands 1
starved 1
statement 1
still 1
stillborn 1
stock 1
