22357422
/m/05sykvf
/m/05sykvf
Charlaine Harris
2008-05-06
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
18 1
a 10
absent 1
affair 1
after 1
alcide 1
alive 1
all 2
also 1
among 1
an 2
and 17
arkansas 1
as 2
at 2
back 1
based 1
be 1
became 1
because 1
been 2
begins 1
being 1
beloved 1
between 2
blood 1
bond 1
book 1
boy 1
boyfriend 1
break 1
brief 1
brigant 1
brother 1
but 2
by 1
calvin 1
campaign 1
can 1
castro 2
causes 1
charge 1
child 1
children 1
close 1
community 1
company 1
control 1
cousin 1
craves 1
crystal 2
dazed 1
de 2
dead 1
deaths 1
decides 1
descended 1
detect 1
didnt 1
disaster 1
discovers 1
displaced 1
does 1
drawn 1
earning 1
emerging 1
encounter 1
ends 1
eric 4
escaped 1
except 1
exchange 2
existed 1
explosion 1
factions 1
fairies 1
fairy 2
familial 1
father 1
feelings 1
felipe 2
finds 1
for 4
forces 1
friend 2
from 4
get 1
given 1
goes 1
grandfather 1
grandmother 1
gratitude 1
greatgrandfather 1
had 2
hadley 1
halffairy 1
hand 1
has 4
have 1
he 1
held 1
help 2
her 15
herself 1
him 3
his 7
horror 1
hot 2
hurricane 2
in 6
injured 1
instead 1
intentions 1
into 1
investigating 1
is 12
it 1
jason 1
katrina 2
kill 1
killing 1
king 5
kingdoms 1
know 2
late 1
learn 1
learns 2
leclerq 1
life 1
like 1
lives 1
local 1
location 1
louisiana 2
manmade 1
means 1
meanwhile 1
mediate 1
meet 1
men 1
mentally 1
merlotte 1
met 1
missing 1
mother 1
murderous 1
mysterious 1
natural 1
need 1
nevada 2
never 1
niall 1
normal 1
norris 1
northman 1
not 1
now 2
of 15
on 1
order 1
out 1
pack 3
packs 1
particular 1
place 1
prisoner 1
promises 1
protection 1
queen 2
quinn 4
recapturing 1
relationship 3
renews 1
required 1
rescues 1
responsibilities 1
romantic 1
rupture 1
safe 1
sam 1
same 1
sanatorium 1
seeks 1
several 1
she 14
shell 1
sheriffs 1
shot 2
shreveport 2
sigebert 1
sisterinlaw 1
sookie 6
soon 1
sophieanne 1
stackhouse 1
status 1
stops 1
summit 1
surrenders 1
take 1
talking 1
telepath 1
telepathy 1
that 7
the 27
their 1
then 2
there 2
they 1
things 1
this 1
time 1
to 13
traditions 1
two 3
uncle 1
under 1
unfaithful 1
unstable 1
upset 1
upsetting 1
vampire 1
very 1
victorious 1
violent 1
visit 1
war 1
warring 1
was 1
were 2
werepanthers 1
weres 1
weretiger 2
whenever 1
where 1
whereupon 1
which 1
while 1
who 1
whom 1
wish 1
with 8
wrest 1
yearning 1
