14764341
/m/03gx6pq
/m/03gx6pq
Gael Baudino
1991
a 13
about 1
across 2
addams 1
after 1
aftermath 1
alouzon 7
an 1
and 25
angeles 2
antithesis 1
are 4
around 1
arrive 1
as 2
at 1
attacked 2
attacks 1
bandon 1
battle 1
battling 1
been 2
behind 1
being 1
between 1
blasted 1
blow 1
body 1
bombs 1
both 1
braithwaite 2
bring 1
but 2
by 4
call 1
can 1
cannot 1
capital 1
carries 1
city 1
close 1
comes 1
conclude 1
consisting 1
continue 1
corrin 1
corrinian 1
day 1
decide 2
decisive 1
destroyed 1
dies 1
difficult 1
do 1
down 1
dream 2
dremords 1
eighteen 1
embodies 1
embodiment 1
examine 1
explore 1
exwife 1
faceless 1
falling 1
familiar 1
fears 1
feelings 1
few 1
fighter 1
finally 1
find 2
finds 3
flee 1
flees 1
following 2
for 1
from 4
gas 1
gets 2
glass 1
god 1
goddess 1
good 1
grave 1
greyfaces 1
gryylth 4
gryylthians 1
guns 1
had 2
has 5
have 2
heath 2
helen 3
helicopters 1
helwych 2
her 7
herself 2
idyllic 1
if 1
in 8
is 6
it 2
its 2
jets 1
kidnapped 1
king 2
know 1
known 1
kyria 8
lame 1
land 2
landing 1
larger 1
leaders 1
leads 1
learn 1
los 2
machine 1
made 1
make 1
man 1
marrget 1
masks 1
meaning 1
means 1
memories 1
modern 1
months 1
more 1
mountains 2
nameless 1
napalm 1
nation 1
new 2
night 2
not 1
ocean 1
of 11
off 1
on 4
one 2
over 1
own 1
pacifist 1
paperweight 1
party 4
passed 1
peace 1
peaceable 1
pellam 1
persona 3
personality 2
phone 1
picks 1
poses 1
responsible 2
rest 1
return 1
returned 2
risen 1
rockets 1
see 1
send 1
she 8
silbakor 6
soldiers 2
solomon 5
something 1
sorcerer 1
sorceress 1
source 1
spectre 2
split 2
statuette 1
stay 1
story 1
striking 1
subconscious 1
suzanne 6
takes 3
team 2
tell 1
tests 1
that 8
the 32
their 2
them 1
themselves 1
there 2
they 7
though 1
through 1
to 11
together 1
too 1
town 1
track 1
trying 1
uniforms 1
unknown 1
up 4
used 1
using 1
vaylle 2
version 1
visits 1
vitriolic 1
wakes 1
wanted 1
war 1
was 1
weapons 1
weeks 1
what 1
when 3
while 1
white 2
who 2
wife 1
will 3
winter 1
with 4
word 1
working 1
worm 2
worships 1
worst 2
wreckage 1
