724284
/m/035w31
/m/035w31
Alessandro Manzoni
1827
{"/m/0hwxm": "Historical novel"}
16000 1
162 1
1628 1
1630 3
1640 1
182 1
1842 1
25 1
8 1
a 53
abbondio 7
about 2
absence 1
absent 1
absolves 1
accosted 1
account 1
acquaintance 1
action 1
adda 1
address 1
admonishing 1
advice 1
advises 1
affairs 1
after 5
agent 3
agnese 9
agrees 1
aid 1
alarm 2
all 2
almost 1
along 2
already 1
amazed 1
amenable 1
an 10
and 53
anger 1
anno 1
announces 3
anointer 1
another 1
antonio 1
appendix 1
archbishop 3
are 9
area 1
argument 1
armies 1
arrest 1
arrival 1
arrives 4
as 10
aside 1
ask 1
asking 1
assault 1
associated 1
assume 1
astonished 1
astonishing 1
at 16
atmosphere 1
attentions 1
attilio 2
attract 1
august 1
authorities 1
awakened 1
away 3
azzeccagarbugli 3
back 1
bad 1
bailiffs 1
bakery 2
baron 4
based 1
be 3
because 1
becomes 1
been 5
before 3
beggars 2
being 4
bergamo 4
best 1
betrayed 1
between 1
beyond 1
blackmailed 1
boat 1
borromeo 1
bortolo 1
boy 1
bravoes 1
bread 1
brings 1
brother 1
bundled 1
busybody 1
but 10
by 22
calamities 1
called 1
calling 1
can 2
capuchin 1
cardinal 1
carry 1
castle 2
celibacy 1
ceremony 1
certain 1
chamber 1
chance 1
chancellor 1
chapters 2
child 1
christopher 1
city 5
clear 1
cloisters 1
clothes 1
coach 2
collalto 1
colonna 1
colquhoun 1
come 1
comes 3
commissioner 2
como 1
comport 1
conflict 1
confusion 1
convent 5
conversation 1
conversion 1
corsia 1
cottage 1
council 1
count 3
couple 2
courage 1
course 1
cousin 4
cristoforo 7
crosses 1
crowd 1
crutches 1
darkness 1
dawn 1
day 2
days 1
de 2
dead 1
death 1
debt 1
decide 1
decided 1
decides 1
declaring 1
decree 1
deed 1
defied 1
deliberately 1
delight 1
delivered 1
della 1
descend 1
destroyed 2
destroying 1
di 2
didnt 1
diplomatic 1
directly 1
discussion 1
disgrace 1
disguise 1
distracts 1
domination 1
don 21
done 1
donna 1
down 1
dr 4
drink 1
drive 1
drives 1
drops 1
during 1
dying 1
edict 1
edition 1
effects 1
egidio 1
el 1
end 1
engineered 1
ensues 1
enter 2
entered 1
entrusted 1
errand 1
escape 1
eve 1
events 1
examine 1
explodes 1
extracting 1
eye 1
face 1
fact 2
family 2
faminestricken 1
famous 1
father 3
fear 1
federigo 1
fell 1
ferrer 2
filled 1
finally 1
find 1
finds 1
finished 1
first 2
firstborn 1
fisherman 1
flee 1
followed 1
for 12
forbidden 1
forced 1
foreign 1
forgives 1
forgotten 1
fortunes 1
four 1
fra 7
fresh 1
frets 1
friar 6
friend 1
from 7
fuit 1
full 2
further 1
future 1
gate 1
gates 1
german 1
gertrude 3
gervaso 1
getting 1
giuseppe 1
gives 1
go 2
goes 2
going 1
goodfornothing 1
gorgonzola 1
government 1
grand 1
great 1
grew 1
guests 1
handcuff 1
has 9
have 4
he 33
hear 2
hears 2
heir 1
help 4
helps 1
hence 1
her 17
heroism 1
highland 1
him 13
himself 1
his 29
home 3
horrible 1
house 5
household 1
how 1
however 1
hungry 1
hut 1
ie 1
if 2
immediately 1
important 1
improved 1
impulse 1
in 46
included 1
including 1
indoors 1
induced 1
infame 1
informed 1
inhabitants 1
inn 2
innominato 1
insists 1
interviewers 1
into 5
introduction 1
invade 1
invaders 1
invite 1
involves 1
is 44
it 5
italy 1
joins 1
journey 1
keep 2
kidnap 1
knowing 1
la 1
lady 1
lake 1
lamp 1
land 1
languishing 1
largely 1
late 1
later 2
lawyer 1
lazzaretto 2
lead 1
leads 1
leaned 2
learns 2
leaves 1
leaving 1
lecco 2
letter 2
letters 1
lie 1
life 2
like 1
linnominato 2
lire 1
listen 1
little 1
lively 1
lives 1
local 1
locked 1
lombard 1
long 1
looking 1
looting 1
loudly 1
lucia 24
lynch 1
make 2
makes 2
male 1
man 2
manoeuvres 1
mansion 1
many 1
manzoni 1
marks 1
marriage 2
married 2
marry 2
mayor 1
meal 1
meantime 1
meanwhile 4
meet 1
meeting 1
memories 1
men 3
menaces 1
menico 2
mercenaries 1
message 2
milan 9
miraculous 1
miserable 1
mixed 1
mob 1
monastery 3
monza 2
more 1
morning 3
most 2
mother 1
much 1
mutual 1
name 4
named 1
native 3
near 1
nearby 3
neighbour 1
news 2
next 2
nick 1
night 4
nightmarish 1
no 3
noblewoman 1
nobody 1
not 6
notary 1
notice 1
novel 1
november 1
now 2
nun 1
occupied 1
of 67
off 1
offer 1
offers 1
old 1
on 13
once 1
one 1
onlookers 1
only 1
openly 1
order 4
ordered 1
orders 1
organise 1
organised 1
original 1
ostensibly 1
other 2
out 3
outside 1
over 1
overhears 1
own 1
panics 1
parents 1
parish 1
part 1
past 2
pasturo 1
pay 1
people 2
perform 1
perpetua 2
personality 1
persuades 1
pescarenico 2
peste 1
plague 4
plan 4
planning 1
plied 1
plot 1
police 1
possible 1
postponed 1
prassede 1
predicament 1
presence 1
presents 1
prestin 1
presumption 1
prices 1
priest 5
priests 1
prison 2
prominent 1
prompts 1
properties 1
protection 1
provincial 1
pseudonym 1
published 2
punished 1
put 1
quae 1
quibbleweaver 1
rainstorm 1
raised 2
rambaldo 1
reach 2
reaches 1
reason 1
reassurance 1
receive 1
received 1
recent 1
recorded 1
recovering 1
recuperating 1
refuge 2
refuse 1
reign 1
renounce 1
renzo 27
reprimanded 1
republic 1
respected 1
restless 1
return 2
returned 1
returns 2
reunited 1
reveals 2
revised 1
riches 1
rimini 1
ripamonti 1
river 2
rivolta 1
robber 1
rodrigo 14
run 1
runs 1
sacristan 1
safe 1
same 2
saved 1
scandal 1
scansc 1
scapegoat 1
scenes 1
scruples 1
search 1
secret 1
secretly 1
see 1
