12076423
/m/02vp0vc
/m/02vp0vc
Marc Brown
1986
{"/m/0dwly": "Children's literature"}
a 3
after 2
all 1
and 8
announcement 1
announces 3
annual 1
any 1
arthur 4
at 3
because 3
brain 2
but 1
challenge 1
class 1
correctly 1
d 1
determine 1
dw 1
ecstatic 1
end 1
enter 1
everybody 1
faints 1
falls 1
fear 1
fere 1
first 1
forward 1
get 2
given 1
grade 1
has 2
he 2
heaps 1
his 1
homework 2
into 1
is 7
kindergarten 2
knows 1
long 2
looking 1
loved 1
mr 4
nervous 1
new 2
next 2
nice 1
night 1
not 3
of 3
on 1
out 1
preparation 2
preperation 1
principal 1
prunella 1
ratburn 4
represent 1
right 1
school 1
september 1
she 3
spellathon 6
spelling 2
spells 2
started 1
starts 1
strict 1
students 1
studies 1
teacher 1
teaching 2
test 1
that 3
the 10
third 1
this 1
to 2
twenty 1
two 1
very 2
w 1
which 1
will 1
wins 1
with 1
wont 1
words 1
year 3
yet 1
