465056
/m/02crzy
/m/02crzy
Clayton Rawson

a 15
about 2
accustomed 1
act 1
action 1
adds 1
after 1
ahead 1
all 2
also 2
an 1
and 9
apartment 1
are 2
article 1
articletobe 1
artist 1
as 1
assistant 1
at 3
attempting 1
been 1
best 1
between 1
bilocation 1
black 1
breakneck 1
bullet 1
but 2
by 2
call 1
carr 1
catch 2
chapter 2
characters 1
chases 1
chunks 1
claim 1
coffins 1
conversation 1
couple 2
crimes 1
dead 1
deliver 1
detective 1
dickson 1
during 1
enlivened 1
entirely 1
escape 1
even 1
everyone 1
exhibit 1
explain 1
explained 1
farfetched 1
fascinating 1
final 1
first 3
flourishes 1
for 1
found 2
freelance 1
from 2
gathers 1
geometry 1
great 1
hand 1
harte 1
have 1
help 1
his 4
however 1
impossible 3
in 11
include 1
included 1
information 1
informative 1
inside 2
is 7
it 1
john 1
keys 1
like 1
locked 1
lockedroom 1
logical 1
magazine 1
magic 2
magician 2
magicians 1
making 1
medium 1
mental 1
merlini 5
mixed 1
modern 1
most 1
move 1
murder 2
murderer 1
mystery 1
nature 1
next 1
nightclub 1
novels 1
number 1
of 12
on 3
once 1
one 3
opens 1
other 1
own 1
paragraphs 1
passage 1
pentagram 1
penultimate 1
people 1
perhaps 1
places 1
police 2
posing 1
problem 1
problems 1
producing 1
professional 1
provide 1
quotes 1
relation 1
revealed 1
ross 1
scene 2
sealed 1
second 1
seems 1
shop 1
solution 1
some 1
spreadeagled 2
stage 1
steps 1
stops 1
story 2
surrounded 1
suspects 2
takes 1
teeth 1
telepathy 1
that 1
the 25
their 1
them 1
theory 1
they 1
this 1
thoroughly 1
three 1
to 9
topics 1
touching 1
tradition 1
trappings 1
tricky 1
two 2
typewriter 1
unrelated 1
ventriloquist 1
victim 2
wellknown 1
when 3
which 1
while 1
who 1
whodunnit 1
with 1
without 1
writer 1
writing 1
yogic 1
