12009177
/m/02vltf4
/m/02vltf4
Scott Ciencin
2002-03-26
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy"}
a 2
about 1
adventures 1
aircraft 1
alan 2
all 2
amanda 2
an 1
and 9
animal 1
are 6
around 1
as 1
attracted 1
attractions 1
authorities 1
back 1
become 1
been 1
before 2
but 1
by 4
capture 1
caught 1
coincidentally 1
cold 1
culled 1
decide 1
destroy 1
disguised 1
eric 2
escaped 1
famous 1
finally 1
florida 2
flying 1
follow 1
from 1
get 2
go 1
grant 1
have 1
havoc 1
helicopter 1
help 1
him 1
in 4
injuring 1
invited 1
is 2
island 2
islands 1
it 1
kill 1
kirby 2
lakes 1
manage 1
manly 2
means 1
named 1
now 1
of 5
off 1
on 1
one 1
orlando 1
out 1
park 2
partially 1
people 1
pilots 1
point 1
pteranodon 1
pteranodons 4
punches 1
reporter 1
reptiles 1
returned 1
some 1
sorna 1
spotted 1
stay 1
story 1
studios 1
talk 1
that 2
the 16
their 1
them 5
then 1
there 1
they 3
throwing 1
to 13
told 1
tricking 1
tries 1
try 1
two 1
unfortunately 1
universal 1
unusual 1
view 1
water 1
wilks 1
with 2
world 1
wreaking 1
