4664731
/m/0cg4bj
/m/0cg4bj
Judy Blundell

{"/m/06n90": "Science Fiction"}
a 5
an 1
anakin 6
and 5
apprentice 1
apprenticesone 1
are 5
as 1
be 1
between 1
but 2
by 2
clear 1
dark 1
destiny 1
determine 1
devoted 1
disaster 1
education 1
emergence 1
episode 2
events 1
exceptional 1
fate 1
force 1
forceand 1
form 1
fourteenyearold 1
future 1
galaxy 1
has 1
he 2
him 1
his 4
i 1
ideal 1
ii 1
in 2
instructions 1
is 4
it 1
its 1
jedi 3
kenobi 1
learn 1
legendary 1
lightsaber 1
mission 1
much 1
obiwan 2
of 4
on 1
order 1
other 1
piloting 1
planet 1
quest 1
right 1
rivalmust 1
separated 1
set 1
should 1
side 1
skills 1
skywalker 3
so 1
still 1
strong 1
survive 1
teach 1
tempted 1
that 1
the 6
them 1
there 1
these 2
they 1
things 1
threatened 1
three 1
to 6
together 1
toxic 1
traces 1
up 1
ways 1
will 1
work 1
yet 1
young 1
