15602513
/m/03mh3x1
/m/03mh3x1
Madeleine L'Engle
1996
{"/m/05hgj": "Novel"}
a 20
able 1
about 4
accept 1
accepts 3
accident 1
accidentally 2
achievement 1
acts 1
affecting 1
after 2
again 1
agree 1
all 1
although 1
amazed 1
an 4
and 47
anger 1
angry 1
announce 1
another 1
answers 2
appears 1
are 4
art 1
artaxias 1
artist 1
artwork 1
as 6
asks 1
astronomy 1
at 4
attempts 2
award 1
away 2
baby 6
back 1
be 4
became 1
because 1
become 1
becomes 2
been 2
before 1
begins 3
begs 1
believes 2
belongs 1
best 1
between 2
bliss 1
blood 2
blooms 1
born 1
boy 1
brother 3
bumps 1
but 9
by 6
calm 1
camilla 32
campus 1
car 2
celebrates 1
changed 3
child 4
church 2
claims 1
college 1
combined 1
come 1
comments 1
compare 1
confused 5
constantly 2
continues 1
costs 1
crash 1
csection 1
cup 1
daughter 2
days 1
deepened 1
deliver 1
demanding 1
desperately 1
despite 1
devastation 1
devotes 1
dies 1
disaster 1
discover 1
discovers 1
discovery 1
disrupts 1
distance 1
do 2
doctors 2
donate 1
driven 1
eagerly 1
education 1
emotion 1
endless 1
ends 2
episcopalian 1
event 2
eventually 1
evidence 1
excited 1
expecting 1
explain 1
explains 1
explanation 1
family 3
father 6
feel 1
few 2
finally 1
flashes 1
for 3
former 1
forward 1
frankie 7
frequently 1
friends 1
friendship 1
from 3
future 2
gains 1
get 1
give 2
gone 1
granddaughter 1
grandmother 1
grange 4
grief 1
had 1
happiness 1
happy 1
has 4
have 3
he 9
her 20
herself 2
him 2
himself 1
his 9
history 1
home 1
horrible 1
how 1
hurting 1
identity 2
idyllic 1
in 8
insane 1
instead 1
into 3
introduces 1
invites 1
is 27
it 4
killed 2
know 2
lashes 1
later 1
lead 1
leads 1
left 1
legal 1
letter 1
life 2
lifetime 1
like 1
local 1
long 1
longer 1
longs 1
loss 2
mac 14
man 1
married 2
marry 1
max 1
may 1
miscarriage 1
missing 1
months 1
mother 2
move 1
name 1
named 2
nearly 1
needs 1
nicknamed 1
no 1
not 5
nothing 1
of 6
on 1
once 1
one 3
only 1
or 1
otherwise 1
out 2
over 1
own 2
pain 1
pair 1
parents 2
pass 1
passed 1
past 4
paternity 1
pay 1
peaceful 1
piece 1
point 1
pours 2
prays 1
pregnancy 1
pregnant 2
presented 1
priest 1
problems 1
professor 1
professors 1
promise 1
promptly 1
proves 1
pulls 1
puzzle 1
quickly 1
rafferty 3
raffi 9
raise 4
real 1
reappears 1
red 7
relives 1
remembers 1
reminded 1
returned 1
rights 1
romance 1
rose 3
rude 1
runs 1
saddened 1
sadly 1
says 1
second 2
seeks 1
sees 1
several 1
sex 1
shattered 1
she 12
short 1
simply 1
small 1
snide 1
soapopera 1
son 5
star 1
states 1
still 4
stir 1
story 2
strikes 1
student 1
successful 1
suddenly 2
surrogate 1
take 1
takes 1
talk 1
taxi 15
tea 1
tells 1
terrible 1
that 7
the 24
their 8
them 2
then 1
they 3
this 2
time 2
to 26
tough 1
town 1
training 1
transfusion 1
tries 2
trouble 1
true 3
truth 1
types 1
unknown 1
until 1
up 1
very 1
visits 1
volunteering 1
was 1
when 6
which 3
while 1
who 2
wife 1
will 3
wise 1
with 7
wonderful 2
work 2
world 1
xanthakos 1
years 3
young 1
younger 1
