25913453
/m/0b6mwgf
/m/0b6mwgf
Margaret Weis
2009-01-06
a 10
abilities 1
able 2
about 1
acts 1
advice 1
after 1
agree 1
alarmed 1
alive 2
almost 1
always 1
an 1
and 18
any 2
appear 1
appears 1
are 4
arrived 1
as 9
at 2
aylaen 1
back 4
be 2
been 1
before 3
begins 1
believe 1
believes 1
best 1
bjorn 2
boar 3
bone 2
bones 1
book 2
brothers 2
brought 2
but 2
by 3
calmly 2
celebration 1
challenge 1
charge 1
chief 3
chosen 1
clan 2
cocky 1
come 1
confidant 1
confidence 1
confirmation 1
convinces 1
course 1
dead 2
demanded 1
demands 1
did 1
distracts 1
does 1
drag 1
dragon 3
dragonship 1
drought 1
during 2
eager 2
edmund 1
empty 1
erdmun 1
especially 1
exact 1
faith 1
father 1
female 1
fight 3
fighting 1
find 2
first 1
followed 1
food 1
for 6
forcing 1
forth 1
friend 1
friends 1
from 1
game 1
garn 6
gash 1
giving 1
go 1
goddess 1
godlords 2
gods 7
great 1
group 2
hall 1
handed 1
harbor 1
has 3
have 3
he 3
hear 1
hearing 1
help 1
her 2
here 1
him 1
his 3
home 1
however 1
huge 1
hunt 1
hunting 3
in 2
includes 1
injuries 1
into 5
is 12
it 2
ivorson 1
kill 1
killed 1
know 1
land 2
lead 1
leading 1
led 1
left 1
levelheaded 1
like 1
logical 1
luda 3
man 1
may 1
meeting 1
met 1
months 1
must 1
news 2
night 1
norgaard 2
not 3
now 2
of 19
off 1
ogre 6
ogres 7
on 1
one 1
opposite 1
or 1
other 2
out 1
parched 1
party 4
plunder 1
points 1
pregnant 1
preparing 1
priestess 2
protects 1
prove 1
quick 1
raid 1
raids 1
raj 1
ran 1
ready 1
reason 1
remains 1
replies 1
rest 1
retreat 1
return 1
riches 1
run 1
salve 1
scarce 1
see 2
seriously 1
shaman 2
she 3
ships 3
shortlived 1
shrine 1
signs 1
silent 1
simply 1
sister 1
situation 1
skylan 17
skylar 1
small 1
some 3
son 1
sonja 1
speak 1
started 1
stated 1
status 1
stepmother 1
still 3
stood 1
struggles 1
successful 1
suffering 2
summon 2
supplies 1
surrender 1
takes 1
talk 1
that 8
the 59
their 5
them 2
there 1
these 1
they 3
thigh 1
thin 1
thinks 1
this 3
three 2
throughout 1
to 25
torgun 5
torval 1
treasures 1
treia 5
tribe 2
try 2
two 1
up 1
upon 1
venjekar 3
very 1
via 1
village 9
villages 1
vindrash 1
vindrassi 2
walk 1
warriors 3
well 3
were 1
what 1
when 1
where 1
who 3
whole 1
why 1
wild 1
will 1
with 4
without 1
women 1
would 1
young 1
