12320358
/m/02v_541
/m/02v_541
Lee Goldberg

0 1
00 1
10 1
18000 1
2007 1
37 1
a 96
abandon 1
ability 1
about 9
accidents 1
accompany 1
account 1
accused 1
accuses 2
accusing 1
across 1
actually 6
add 1
added 1
additionally 2
admits 2
admitting 1
adrian 1
advertised 1
advises 1
afraid 1
after 14
again 2
against 1
ago 1
alibi 1
all 11
alligator 12
alligators 3
along 2
also 17
although 1
always 1
amount 2
an 16
analysis 1
and 120
angeles 11
animal 2
anonymously 1
antiques 1
any 2
anything 2
apart 1
apartment 5
apologize 1
apologizes 1
apparently 1
appear 2
applied 1
approximate 1
are 17
around 4
arranged 1
arrest 2
arrested 2
arrive 2
arrived 2
arriving 1
arson 2
arsonist 1
as 26
ashamed 1
ask 2
asking 1
asks 5
aspect 1
assistance 1
assistant 2
at 30
attached 1
attack 2
attacker 1
attend 1
attended 1
attending 1
attention 1
authentic 1
author 1
autopsy 1
away 4
back 8
bad 2
bag 1
baker 3
basically 1
bath 2
bathtub 4
bay 1
be 6
beach 5
bear 1
because 5
become 2
been 18
before 12
befriended 1
befriends 2
began 1
begins 1
behind 2
being 6
believe 3
believes 4
believing 1
benjy 4
berates 1
berkeley 1
betrayed 2
between 1
big 2
bite 5
biting 1
bizarre 2
blocks 1
blood 1
blown 1
bludgeoned 2
body 10
bond 1
book 4
books 9
bookshelf 1
bookstore 6
bookstores 1
both 3
bought 2
bowen 2
box 2
break 1
breaks 1
briefly 2
bring 1
broke 1
brought 2
brutally 1
buick 1
build 1
building 2
business 3
busting 1
but 13
buy 1
buys 1
by 12
call 2
called 4
caller 1
calls 2
came 2
can 8
cant 4
captain 2
car 13
card 2
carrying 1
cars 1
case 3
cases 1
cast 1
caught 3
cause 1
caused 1
cell 2
certain 1
chance 2
characters 1
check 3
checking 1
cherokee 1
choice 1
church 1
claimed 1
claiming 1
claims 4
clam 1
clamped 1
clamping 1
class 1
clean 1
cleaning 1
clear 1
clever 1
cleverly 1
clients 2
close 1
closed 1
closest 1
clothes 2
clues 6
coach 1
cochran 4
coincidentally 1
cole 8
come 1
comes 2
commit 1
commits 1
committed 2
committing 1
company 2
compelling 2
completed 1
completes 1
complicated 2
compromise 1
compulsion 1
concludes 1
confirms 1
confused 1
conjure 1
consciousness 1
considered 1
consistent 1
consult 1
consultant 1
contacted 1
converted 1
convict 1
convinced 2
copy 3
corolla 1
could 3
couldnt 1
create 2
creature 1
credit 2
creek 1
crew 2
crime 8
crimes 2
crucial 1
currently 1
cutting 1
daily 1
dalmas 3
damning 1
dated 2
day 6
days 5
dead 3
deadlines 1
death 8
decide 1
deduces 1
dentist 1
department 2
described 1
designed 1
desire 2
destroy 1
detective 2
determined 1
did 4
didnt 1
different 2
difficult 2
dipping 2
discount 2
discover 1
discovered 1
disher 5
dismisses 4
do 1
does 1
doesnt 5
doing 1
