13162942
/m/02z9dt2
/m/02z9dt2
Diana Gabaldon

1758 1
65th 1
78th 1
a 3
about 1
abrupt 1
action 1
along 1
and 10
are 2
assistance 1
at 2
be 3
been 1
before 1
begins 1
begs 1
black 1
blade 1
board 1
both 2
briefly 1
brother 1
brotherhood 1
brought 1
burst 1
but 3
by 2
cannon 5
cannons 1
captain 1
cares 1
charge 1
chest 3
child 1
col 1
commanded 1
confessions 1
consortium 1
contract 1
crew 2
damage 1
death 1
discovers 1
discredit 1
does 1
edgar 1
either 1
elder 1
emotions 1
events 1
eventually 1
evidence 1
failures 1
father 1
fenshaw 1
fiance 1
following 1
for 2
fraser 1
from 2
goad 1
government 1
grey 12
ground 1
gun 2
had 1
hal 1
halfbrother 1
harry 1
he 3
help 1
him 1
himself 1
his 6
honest 1
in 4
including 1
inquiry 3
instead 1
insulted 1
into 1
intrigue 1
investigate 1
is 1
it 1
james 1
john 2
june 1
krefeld 1
late 1
least 1
leave 1
lister 3
locating 1
lord 1
lt 2
man 1
manning 1
manufactured 1
meets 1
members 2
metal 1
military 1
missing 2
never 1
november 1
occasions 1
of 12
on 2
one 1
only 1
or 2
other 1
out 2
pains 1
paroled 1
philip 1
piece 3
pilchard 1
political 1
poorly 1
powder 1
presents 1
quarry 1
questioning 1
refuses 1
regiments 1
remaining 1
remains 2
removed 1
residual 1
returns 1
seconded 1
see 1
sent 1
serve 1
severe 1
shaking 1
shrapnel 1
son 1
stalks 1
starkly 1
stay 1
suggests 1
supplying 1
surgeons 1
surrender 1
surrounding 1
surviving 1
sword 1
tasks 1
temporarily 1
that 4
the 22
these 1
this 2
thoughts 1
to 11
tom 1
troubled 1
twelvetrees 2
two 1
uncontrolled 1
upon 1
use 1
used 1
warns 1
way 1
were 1
when 1
while 2
who 1
will 2
willingness 1
with 2
worries 1
writes 1
