2598879
/m/07qr_3
/m/07qr_3
William Faulkner
1930

a 24
about 3
accept 1
acceptance 1
accepted 1
account 1
act 1
affair 1
after 5
agreement 1
all 1
among 1
an 3
and 11
antebellum 1
any 1
appealed 1
appeared 1
archaic 1
area 1
aristocracy 1
around 1
arrangement 1
arrived 1
arsenic 1
as 6
assuage 1
at 3
bad 1
barron 2
be 1
became 1
become 2
bed 1
bedroom 1
been 4
before 1
begun 1
behave 1
behavior 2
behind 1
believed 1
below 2
beside 1
between 1
black 1
bought 2
brief 1
buried 1
but 2
by 1
came 3
chance 1
charity 1
city 1
civil 1
claimed 1
clan 1
closest 1
colonel 1
community 3
confront 1
connection 1
consent 1
contact 1
continued 2
contractor 1
corpse 1
council 2
cousins 5
cover 1
curiosity 1
darkness 1
days 2
dead 1
deal 1
death 2
decided 1
declined 1
despite 1
did 1
died 2
dissipated 1
distant 1
done 1
door 2
during 1
earlier 1
either 1
elderly 1
emanate 1
emily 20
entered 1
even 2
fallen 1
family 2
far 1
fashion 1
father 7
firstperson 1
flatly 1
for 8
found 1
friendly 1
from 2
funeral 3
gained 1
generation 1
gentleman 1
get 1
give 1
giving 1
great 1
grierson 1
grieving 1
group 1
had 12
hair 1
hard 1
haughtily 1
have 1
he 2
head 1
her 29
hereditary 1
herself 1
hidden 1
him 1
himself 1
homer 6
house 8
however 1
humored 1
if 1
in 7
increasingly 1
indeed 1
indentation 1
informal 1
insane 1
inside 1
insisted 1
instead 1
institution 1
into 1
issue 1
it 5
kicked 1
laborer 1
large 1
last 2
later 1
lay 1
left 2
life 1
lime 1
live 1
locked 1
long 2
made 1
man 2
marriage 2
marrying 1
match 1
mayor 1
meant 1
member 1
men 1
must 1
narrator 1
nature 1
needing 1
neighborhood 1
neighbors 1
neither 1
never 1
next 1
night 1
nonlinear 1
northern 1
not 2
nowgray 1
obligation 1
of 26
off 1
on 6
one 1
only 1
opens 1
opposition 1
out 1
overlook 1
owed 1
part 1
past 1
pave 1
people 1
perceived 1
person 1
pillow 1
poison 1
possessions 1
power 1
present 1
press 1
pretense 1
pride 1
proceeds 1
process 1
quickly 1
rallied 1
rarely 1
reasons 1
recluse 1
reclusive 1
recollections 1
refused 1
refusing 1
relationship 1
relatives 1
remained 2
remaining 1
repayment 1
reported 1
reputation 2
reputedly 1
rest 1
returned 1
revived 1
rid 1
sartoris 1
see 2
seeing 1
seen 1
send 1
sentiment 1
servant 1
she 8
shop 1
shopping 1
sidewalks 1
single 1
smell 2
so 2
social 1
solidify 1
some 1
somewhat 1
southern 2
sparked 1
spinster 1
sprinkle 1
standards 1
status 2
story 1
strong 1
such 1
surprised 1
talk 1
taxes 2
terms 1
than 1
that 9
the 50
their 2
them 1
themselves 1
then 1
there 2
these 1
they 3
thirty 1
this 2
though 1
thread 1
three 2
throughout 1
time 3
times 1
to 27
tolerated 1
towards 1
town 5
townsfolk 2
turnabouts 1
two 2
unable 1
under 2
upstairs 1
view 1
walk 1
war 1
was 14
wedding 1
were 1
what 3
when 2
which 2
who 2
with 6
without 1
worse 1
would 2
written 1
years 2
