7318527
/m/025y_w0
/m/025y_w0
Max Frisch
1979
74 1
a 7
admit 1
ago 1
along 1
and 10
apoplexy 1
appearance 1
are 2
as 1
at 1
attacks 1
back 1
banging 1
bible 1
bleibt 1
books 2
bored 2
bury 1
but 1
by 1
cat 1
categorizes 1
caused 1
cerebral 1
companion 1
crispbread 1
cuts 1
cutting 1
cycle 1
deluge 1
der 1
despite 1
destroyed 1
died 1
dissected 1
diverging 1
do 1
during 1
ein 1
encyclopedia 1
encyclopedias 1
end 1
era 1
etc 1
event 1
evolutionary 1
exposed 1
fearing 1
first 1
from 1
front 1
geiser 4
had 1
has 1
he 9
hikes 1
his 10
history 1
holocene 1
house 1
if 1
importance 1
in 4
insignificance 1
instead 1
into 1
is 6
knowledge 2
laie 1
landslide 1
large 1
later 1
life 1
limits 2
long 1
loses 1
make 1
makes 1
man 4
mans 2
meaninglessness 1
memory 4
mensch 1
mortality 1
mr 1
my 1
necessary 1
need 1
not 3
notes 3
noting 1
of 5
off 1
old 1
or 1
out 1
outdoors 1
pages 1
pagoda 1
paragraphs 1
paths 1
physical 1
rains 1
reads 1
recent 1
report 1
rocks 1
rolling 1
rookie 1
sadly 1
sides 2
slide 1
slowly 1
so 1
sole 1
stays 1
suffers 1
tacks 1
tapes 1
taxonomy 1
terms 1
that 5
the 17
them 2
there 1
thunder 1
thunders 2
ticinese 1
to 4
torrential 1
towards 1
tries 1
types 1
unfortunately 1
valley 1
very 1
village 1
visible 1
walls 1
wandering 1
was 1
weather 1
while 1
wife 1
wonders 1
would 1
yearold 1
