6150798
/m/0fsv01
/m/0fsv01
Chris Pierson

a 16
abandoned 1
about 1
abyssal 1
after 3
again 1
against 1
agree 1
agrees 1
aid 2
aiming 1
aims 1
all 3
allies 2
allowed 1
already 1
also 2
ambush 1
an 3
and 28
andras 15
any 1
apex 1
are 4
around 1
arrive 2
artifacts 2
as 1
at 4
attack 5
attacker 1
attacking 2
attempt 3
attempts 1
away 6
axe 1
back 2
banish 1
battle 1
be 5
become 1
becomes 2
becoming 1
before 2
begin 3
begins 2
believing 1
black 1
book 1
books 1
bring 1
building 3
burnt 3
but 2
by 9
can 2
cant 1
captured 1
cathan 17
causing 1
charm 1
chemosh 1
choice 1
city 1
claims 1
clear 1
comes 1
conclave 3
confused 1
controlled 1
couldnt 1
court 1
courtiers 1
crusade 1
curses 1
daltigoth 1
damid 1
day 2
days 1
dead 1
deathmaster 2
decides 5
deduce 1
desires 1
destroy 1
destruction 1
die 1
died 1
dies 2
disenchanted 1
distance 1
distributes 1
divine 6
doesnt 2
doing 1
done 1
down 1
due 1
during 2
dying 1
early 1
embarrasses 1
embedded 1
emptied 1
enemy 1
entrance 1
envoy 1
eradicating 1
escape 1
escort 1
everything 1
evil 2
explode 1
faced 1
fatal 1
feel 1
fetch 1
fight 1
find 2
finds 1
first 1
fistandantilus 9
for 5
forced 1
forces 2
form 1
fortunately 1
foul 1
friend 1
from 5
front 1
general 1
get 1
go 1
godly 1
going 2
grand 2
groves 1
guarding 1
guards 2
guilty 1
hall 1
hammer 6
has 2
have 1
he 16
head 4
held 1
her 4
hidden 1
high 4
him 8
his 10
hold 1
holy 1
however 8
if 1
imps 1
in 11
including 1
instead 1
interrupted 1
into 2
ironically 1
is 18
isnt 1
istar 6
it 2
join 1
just 2
kill 3
kingpriest 17
kisses 1
knew 1
knight 1
knows 1
later 2
learns 1
leaves 1
leciane 9
let 2
levels 1
levy 1
lies 1
life 1
lighthouse 2
little 1
live 1
longboats 1
losarcum 1
lose 2
lover 1
mage 1
magic 3
magical 3
main 1
makes 1
manage 4
manages 5
many 3
marshal 2
mass 1
master 2
meanwhile 1
memories 1
mind 2
moot 1
move 1
moved 1
must 1
never 1
new 2
next 1
no 1
notices 1
nusendaran 3
of 22
off 1
offers 1
olive 1
on 4
one 3
onto 1
order 2
orders 1
other 1
out 2
over 1
palace 2
palanthas 1
parts 1
passages 1
past 1
path 2
patriarch 3
payment 1
persuade 3
populace 1
present 1
prevents 1
previous 1
priest 1
process 1
promises 1
prospect 1
protect 1
punishment 1
pushes 1
quarters 1
quasito 2
quasits 1
quickly 4
reach 1
ready 2
realize 1
realizes 1
receive 1
receives 1
refuses 1
renegade 1
rescues 2
rest 1
return 1
returning 1
revenge 1
ruined 2
sacrifice 1
seeds 2
seems 1
seen 1
seldjuk 2
sending 1
sends 1
she 6
sheep 1
since 5
sister 1
so 8
some 1
sorcery 4
spell 3
spends 1
stabs 1
stake 2
steals 1
storm 1
student 1
succeeds 1
suddenly 1
summon 1
surge 1
sway 1
sword 1
taken 1
takes 4
teleport 1
teleported 1
teleports 1
tell 2
temple 1
that 12
the 91
their 3
them 4
then 6
there 2
therefore 1
they 17
think 1
this 1
those 1
threatens 1
through 1
throwing 1
tithian 4
to 48
told 1
tournament 3
tower 10
towers 3
trees 1
try 1
twisting 1
unconscious 1
under 1
undo 1
unfortunately 1
until 2
up 1
very 2
village 1
vincil 3
wakes 1
war 1
warn 1
was 2
wasnt 1
watch 1
way 3
wayreth 1
weak 1
what 2
when 3
where 1
which 2
who 1
will 2
wishes 1
with 7
wizards 3
word 1
work 1
working 1
worship 1
would 1
wound 1
