2137175
/m/06pjms
/m/06pjms
Mary Renault
1975

16 1
166 1
172 1
181 1
356323 1
a 4
absolutely 1
admired 1
advocates 1
after 2
against 1
alexander 7
also 2
ancient 1
and 7
apollo 1
appears 1
aristotle 1
as 1
attempt 1
bcebc 1
be 1
beauty 1
biography 2
book 2
both 1
boy 1
brawl 1
but 1
case 1
command 1
completed 1
corresponded 1
death 1
defends 1
drink 1
drunken 1
edition 1
egypt 1
enough 1
even 1
every 1
example 1
felt 1
fire 1
for 1
friend 1
from 1
funeral 1
games 1
generations 1
great 2
hardcover 1
he 2
heaven 1
hephaistion 1
her 1
his 1
historical 1
illustrated 1
impartial 1
in 3
independent 1
is 2
killed 1
killing 1
king 2
kleitos 2
legally 1
macedon 1
makes 1
man 1
many 2
mask 1
mission 1
modern 1
much 3
mummy 1
murder 2
neutral 1
no 1
nonfiction 1
not 2
novels 1
of 8
only 1
or 1
out 3
persia 1
persian 1
pointing 2
points 1
premeditation 1
provocation 1
rather 1
refers 1
refutes 1
rejects 1
renault 3
ruler 1
several 1
she 4
slurs 1
so 1
still 1
story 1
successful 1
tell 1
terminology 1
that 3
the 13
these 1
to 3
truly 1
unabashedly 1
undertook 1
usual 1
was 3
were 1
when 1
which 2
whole 1
with 2
wrote 1
