1414746
/m/02p48sz
/m/02p48sz
Steven Erikson
2008-06-30
a 1
about 1
afoot 1
all 1
alleyways 1
ancient 1
and 6
anomander 1
are 1
arrive 1
arrived 1
assassins 1
bards 1
baying 1
be 1
become 1
black 1
but 1
by 1
can 1
chorus 1
city 1
clamouring 1
coral 1
crimes 1
dancing 1
darkness 1
darujhistan 1
death 2
dire 1
discomfiture 1
distance 1
due 1
entirely 1
entrance 1
faded 1
fell 1
fiends 1
for 1
goes 1
hands 1
haunt 1
have 2
heard 1
heat 1
hidden 1
his 1
hounds 1
hunted 1
hunters 1
in 5
indeed 1
is 5
it 3
like 2
love 2
make 1
man 1
memories 1
nights 1
not 2
of 6
oppressive 1
over 1
palpably 1
plague 1
pluck 1
portents 1
rake 1
red 1
revenge 1
rotund 1
ruled 1
saying 1
seem 1
seems 1
shadow 1
shall 1
sing 1
skulk 1
small 1
so 1
something 1
somewhere 1
son 1
strangers 1
streets 1
strings 1
summer 1
sun 1
surface 1
tales 1
that 2
the 13
their 2
to 2
together 1
too 1
tragic 1
tyranny 1
waistcoat 1
well 1
while 1
would 1
yet 1
