3595652
/m/09nsqw
/m/09nsqw
Graham Edwards
2000-08
1883 1
a 5
abyss 1
across 1
adventures 1
amara 2
and 6
artifacts 1
book 1
both 1
built 1
companions 1
covers 1
creatures 1
cross 3
delve 1
die 1
discover 1
dragons 1
earth 1
eruption 1
evil 1
fall 1
falling 1
figure 1
find 1
forest 1
from 3
further 1
future 1
good 1
he 2
held 1
his 2
in 1
into 2
is 1
it 1
jonah 1
journey 1
krakatoa 1
landscape 1
lightfoot 1
man 1
massive 1
meet 1
memory 1
mermaids 1
must 1
nature 1
ocean 1
of 5
on 1
or 1
out 1
own 1
past 1
paths 1
place 1
present 1
shapeshifting 1
somehow 1
spirits 1
stolen 1
stumble 1
surface 1
the 8
their 1
then 1
they 2
to 3
true 1
unwitting 1
vertical 1
water 1
way 1
when 1
where 1
with 1
without 1
witnesses 1
world 4
worse 1
