19376135
/m/04n1pr3
/m/04n1pr3


{"/m/01hmnh": "Fantasy"}
a 20
abandon 1
able 3
about 3
actually 1
advertisement 1
after 2
again 1
agrees 1
air 1
allowed 1
an 1
and 23
announces 1
appears 1
are 2
around 1
arranges 1
artist 2
as 2
assumes 1
at 2
be 1
because 1
befriends 1
beginning 1
believe 1
belongs 1
book 1
boy 13
bring 1
bronze 1
but 2
can 2
cannot 1
cant 1
catches 1
charge 1
children 7
clear 9
cloak 1
come 2
confess 1
constantly 1
constructed 1
continue 1
could 2
country 1
decides 1
destroy 2
destroys 1
detra 1
didnt 1
disguise 1
does 1
doesnt 1
door 1
during 1
each 1
else 1
end 1
eventually 1
explains 1
explore 1
explored 1
famous 1
father 2
fears 1
feels 1
few 1
finally 1
find 1
finds 2
finish 1
for 3
foreign 1
friend 2
friends 2
frightened 1
from 2
general 1
gentian 7
girl 4
go 1
going 2
governess 1
granddaughter 1
grandfather 2
had 2
hands 1
handsome 1
has 1
have 3
he 9
her 12
herself 2
him 4
his 2
home 4
homeschooled 1
horrible 1
house 1
housework 1
however 1
idea 1
if 1
in 10
into 2
is 18
it 6
kay 8
knowing 1
land 8
larger 1
learn 1
leave 2
leaves 1
likes 1
live 1
lonely 1
longer 1
make 2
mask 8
masked 1
meet 1
middle 1
mirrors 1
mother 3
mountains 1
much 2
mysterious 1
named 3
nan 7
never 1
next 1
night 1
no 2
not 2
novel 1
now 3
of 11
officer 1
once 2
one 1
only 1
out 1
outcast 2
outcasts 1
own 3
owned 1
pair 1
people 1
perfect 1
person 2
persuades 1
play 1
police 1
pool 1
possibly 1
pretty 1
punishment 1
purchase 1
purchases 1
purple 1
quickly 1
quite 1
reach 1
realizes 1
really 1
requesting 1
responding 1
return 1
returns 1
rosemarie 9
sad 2
sandals 1
scaring 1
school 3
sculptor 1
see 1
seeing 1
seen 1
send 1
she 14
shoes 1
shortly 1
smile 1
so 5
someone 1
somewhat 1
sorry 1
starry 1
statuette 3
stories 1
story 1
strict 1
tells 3
that 16
the 52
their 6
them 2
then 1
there 1
they 4
through 1
throws 1
times 1
to 26
trying 1
two 1
unable 1
until 1
used 1
version 1
very 1
village 4
visit 3
visits 2
wait 1
was 2
water 1
wearing 2
when 1
where 2
while 2
who 4
will 1
wind 11
wings 1
wish 1
wishes 1
with 6
without 1
woman 1
world 1
would 2
