2759840
/m/0812ng
/m/0812ng
Troy Denning

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 28
abilities 1
able 5
aboard 1
about 6
academy 1
accesses 1
accumulated 1
activating 1
actually 1
after 7
afterwards 1
again 2
against 7
agree 2
agreement 1
agrees 3
alema 22
all 7
allies 2
allout 1
along 3
alongside 1
although 1
amidst 1
among 1
an 11
anakin 1
and 67
animal 1
another 1
answer 1
any 3
are 10
around 1
aryn 1
as 19
ascendancy 2
ascendency 1
asked 1
asks 1
assistance 1
assistants 1
astromech 1
at 1
attack 2
attacked 3
awkward 1
awkwardly 1
back 9
backup 1
badly 2
base 1
battle 3
battles 1
bay 1
be 3
beacons 1
because 3
become 2
becomes 1
been 1
before 4
behind 2
being 2
beings 4
ben 4
best 1
betrays 1
between 2
beyond 1
blue 1
blueblack 4
bodies 1
bodyguards 1
bombing 1
border 2
both 2
brought 1
burned 2
but 4
by 10
cakhmaim 1
call 4
captain 1
captives 1
captivity 2
cause 1
caused 1
cells 1
chaformbintrano 1
chiss 13
cilghal 1
clan 4
clarify 1
cloud 1
colony 8
coma 1
combat 1
come 2
comes 2
commencing 1
complaint 1
complies 1
computer 1
concludes 1
conflict 3
confront 4
connection 1
consortium 1
conversation 1
copilot 1
coruscant 1
couldnt 1
council 1
couple 1
crash 3
crashed 1
current 1
dark 7
decided 1
defeat 1
defeats 2
defending 1
defense 1
denies 2
did 1
discern 1
discover 1
dispute 1
djo 2
does 1
dont 2
doubt 2
down 1
droid 1
due 2
duel 1
during 1
duties 1
each 2
eating 1
effect 1
elicit 1
else 1
end 2
ended 1
ends 3
enemy 1
engage 1
enlists 1
enough 1
envoy 1
escape 1
escapes 1
even 2
eventually 1
everyone 1
evidence 1
except 1
existence 1
expand 1
expected 1
explain 1
explains 3
explosion 1
extensive 1
falcon 5
family 2
father 1
feel 2
fel 2
fellow 2
fight 4
fighting 2
fights 2
figure 1
figured 1
file 1
files 1
filled 2
find 5
finds 2
fleet 1
follow 2
followed 1
footage 1
for 10
force 4
forces 2
forcesensitivity 1
form 1
formbi 2
fought 1
found 2
friend 2
friends 1
from 12
full 1
galaxy 1
gelmeat 2
get 1
gets 2
ghent 1
give 2
go 1
goes 1
going 3
good 1
gorog 9
group 2
had 5
han 4
hangar 1
hapan 2
hapans 1
hapes 1
happened 1
happens 1
has 5
have 4
he 11
healed 1
healer 1
heard 1
help 5
helped 1
hence 1
her 13
heretic 1
herself 3
him 1
his 9
hive 5
however 3
hyperspace 1
hypothesize 1
if 1
ii 1
image 1
imprisoned 1
in 24
indeed 1
inevitably 1
