22587954
/m/05zwtbn
/m/05zwtbn
Rabih Alameddine
1998-04-15
{"/m/05hgj": "Novel"}
a 7
accounted 1
achieves 1
add 1
aids 4
alameddine 2
also 2
and 10
appearances 1
are 2
art 1
articles 1
as 1
book 1
books 1
breaks 1
by 1
central 1
certain 1
chaos 1
characters 1
citing 1
civil 2
consciousness 1
creative 1
deals 1
death 3
deep 1
dialogues 1
diary 1
different 2
disregard 1
each 1
emails 1
entries 1
epidemic 1
everything 1
examples 2
experiences 1
exploitation 1
fact 1
few 1
fictional 1
first 1
for 3
fragments 1
from 4
harrowing 1
have 1
help 1
history 1
holy 1
human 1
in 10
inadequate 1
include 1
insufficiency 1
is 9
issues 1
it 1
koolaids 2
lebanese 1
lebanon 1
life 5
main 1
make 1
mass 1
meaning 1
meaninglessness 2
meanings 1
media 1
monolithic 1
multiple 1
multitude 1
name 1
narrative 1
narratives 2
narrators 2
news 1
newspaper 1
nonlinear 1
not 1
novel 8
numerous 1
of 20
offers 1
often 1
on 2
one 1
only 1
or 2
overall 1
paragraphs 1
part 1
people 1
person 1
personal 1
point 2
portray 1
postmodern 1
purpose 1
quick 1
randomness 1
realities 1
reflect 1
representation 1
sections 1
sentences 1
series 1
sex 1
short 2
show 1
sick 1
spots 1
stream 1
style 2
subthemes 1
such 1
textsprayers 1
that 4
the 29
theme 1
there 1
these 1
thing 1
this 2
thought 1
throughout 1
to 4
told 2
traditional 1
types 1
view 2
vignette 1
vignettes 2
violence 1
war 5
who 1
whole 2
with 2
written 1
