22019808
/m/05p70tq
/m/05p70tq
Mark Budman

150s 1
80s 1
a 5
akin 1
alex 3
alien 1
also 1
america 1
american 1
and 4
annie 1
as 2
at 1
become 1
becomes 1
being 2
bleakness 1
born 1
carefree 2
character 1
child 1
come 1
cousin 1
dims 1
discover 1
dreams 1
family 1
feels 1
finally 1
find 1
first 1
follows 1
for 1
foreigner 2
fulfill 1
future 1
gets 1
grows 1
he 5
him 2
his 6
hopes 1
however 1
in 2
institutionalized 1
it 1
life 2
meets 1
moves 1
my 1
nature 1
new 1
of 4
only 1
overcome 1
own 1
pass 1
rather 1
saw 1
selffulfillment 1
some 1
someone 1
soviet 2
surroundings 1
than 1
that 1
the 5
these 1
things 1
to 10
tourists 1
try 2
two 1
union 2
up 1
wants 1
was 1
when 1
where 1
who 1
wish 1
writer 1
