25071025
/m/09gkbl_
/m/09gkbl_


{"/m/0mz2": "Alternate history"}
176 1
30th 1
4 1
a 12
adopted 1
american 2
and 6
anniversary 1
are 1
area 1
arisen 1
at 1
atomic 1
attacking 1
attempt 1
axis 1
been 1
begins 1
between 1
blum 1
bomb 3
book 1
buckwesson 1
california 1
celebrating 1
center 1
china 1
chula 1
comfortable 1
cooper 2
cowboy 2
daughter 1
decades 1
despite 1
developing 1
divided 1
during 1
event 1
explodes 1
father 1
fighters 1
fortress 1
general 4
geographic 1
george 1
group 1
had 1
has 2
head 1
hidden 1
his 3
hitler 2
horse 1
however 1
in 6
intention 1
is 3
japanese 1
july 1
killing 1
lake 1
last 1
lisa 1
manhattan 1
meeting 2
members 1
mountains 1
mysterious 1
named 1
national 1
native 1
no 1
now 1
nuclear 1
of 8
on 4
ongoing 1
only 1
opportunity 1
over 1
patton 1
plan 1
planted 1
project 1
recently 1
redoubt 1
resistance 2
retired 1
revolution 2
rocky 1
seen 1
senile 1
site 1
spark 1
sparking 1
states 1
stubbs 1
suggests 1
summit 1
that 1
the 19
they 1
throughout 1
tj 1
to 2
tojo 1
travel 1
travelling 1
two 2
unique 1
united 1
using 1
victory 2
visiting 1
war 2
wayne 1
where 1
with 1
woman 1
work 1
world 3
young 1
younger 1
