424680
/m/026wy0
/m/026wy0
Greg Egan
1992
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
20342080 1
a 17
able 1
accepts 1
after 1
aliens 2
all 4
allowing 1
allows 2
almost 1
always 1
an 4
and 12
any 1
anyone 1
are 4
as 10
astronomers 1
at 3
back 1
background 1
be 5
been 1
before 1
being 4
beings 1
bench 1
blinding 1
body 1
boldface 1
brain 3
brains 1
break 1
bubble 4
but 2
by 7
can 2
canon 3
capable 1
carry 1
carrying 1
case 2
causality 1
cells 1
central 1
characters 1
chat 1
choose 2
chose 1
coin 1
collapse 3
collapsed 1
collapsing 2
complicated 1
conscious 1
consequence 1
consequently 2
constructed 2
contains 1
control 3
course 1
debrief 1
decided 1
define 1
destruction 1
developing 1
different 1
disappearance 1
discover 1
discovered 1
diversity 1
do 1
doors 1
down 1
download 1
drops 1
each 1
edge 1
eigenmod 1
eigenstate 2
eigenstatecontrol 1
eigenstates 2
either 1
enjoy 1
enormous 1
ensemble 4
enter 1
event 1
events 1
exactly 1
except 1
exist 1
extrasolar 1
fabric 1
fact 2
failed 1
fill 1
first 1
flash 1
flipping 1
fluid 1
for 3
forced 1
forward 1
freedom 1
from 3
furnaces 1
further 1
fusionpowered 1
future 1
genetically 1
getting 1
given 1
globe 1
go 1
goal 1
group 1
guards 1
habitually 1
had 1
happen 1
has 1
have 3
he 2
heavens 1
hence 1
highest 1
him 1
his 2
home 1
how 2
human 5
humanity 4
humans 2
ideas 1
ie 1
impenetrable 1
in 14
infected 1
infects 1
inhibitor 1
installation 1
installed 1
installing 1
instance 1
institute 1
insufflating 1
into 2
investigate 1
involuntarily 1
involved 1
is 16
it 4
its 3
keepers 1
knowing 1
known 1
leads 1
less 1
life 1
light 1
lights 1
locked 1
long 1
longer 1
looking 1
lowprobability 1
loyal 3
loyalists 1
loyalty 2
main 1
makes 1
massive 1
mechanics 2
meets 1
member 1
members 1
mere 2
microorganisms 2
mod 7
modified 1
modify 1
modifying 1
mods 2
most 1
name 1
nanomachines 2
narrator 3
near 1
neither 1
nerve 1
neural 3
newfound 1
nice 1
no 2
nondeterministic 1
nor 1
normal 2
normally 1
not 3
note 1
novel 4
nuclear 1
observation 1
observations 1
observed 2
observer 1
of 22
on 3
one 1
or 3
organization 2
other 4
out 1
outside 1
over 2
p3 1
park 1
particular 2
passes 1
past 1
people 3
perform 1
permits 1
person 2
personal 2
physical 1
pick 1
plot 1
possibilities 1
possible 1
potentiality 1
preference 1
prevent 1
proceeds 1
process 3
properties 1
provide 1
provided 1
psychiatric 1
put 2
quantum 3
range 1
reached 1
reality 1
reappear 1
reducing 1
related 1
relied 1
rendering 1
representing 1
researchers 1
responsible 1
rest 1
result 1
return 1
rewiring 1
rogue 2
run 1
same 1
scientist 1
seems 1
seen 1
sense 1
sentinel 1
set 1
several 1
shield 1
situation 1
sky 1
smear 1
smeared 2
software 2
solar 2
something 1
specify 1
stars 3
start 1
state 1
states 2
steal 1
still 1
stop 1
story 1
such 4
suddenly 2
suggested 1
superposition 1
support 1
surrounded 1
survive 1
suspend 1
system 2
systems 1
than 1
that 7
the 66
their 4
them 1
themselves 1
then 3
theory 1
they 2
things 1
this 6
through 2
time 1
titles 1
to 34
tricks 1
trying 1
tunneling 1
turn 3
two 1
under 1
understand 1
undreamed 1
uninhabitable 1
universe 2
untrained 1
used 1
user 1
uses 1
variety 1
was 3
wavefunction 4
wavefunctions 2
way 2
weakened 1
were 2
what 3
when 2
which 4
who 3
whose 1
why 1
will 3
with 6
woman 1
working 1
world 1
wreaking 1
