3516517
/m/09hvv2
/m/09hvv2
Pierre Christin
1980

20th 2
a 39
about 2
adding 1
advanced 1
affair 1
afterwards 1
agent 1
agrees 1
ahead 1
air 1
albert 22
allow 1
alone 1
also 2
ambulance 2
america 1
american 2
an 8
and 39
angrily 1
angry 1
another 1
any 1
apominobas 2
apparition 3
apparitions 2
appear 2
appears 2
are 11
arising 1
arrive 1
arrived 1
arriving 2
artifacts 1
as 3
asked 1
asks 1
astroship 1
at 14
auber 1
away 1
back 2
be 4
beast 1
beautiful 1
been 6
behind 2
being 1
believes 3
bellson 5
beside 1
between 4
blonde 1
book 1
booked 1
bounces 1
brings 1
broken 1
brooklyn 1
brought 1
businessmen 1
but 5
by 12
caf 3
called 2
can 1
cannot 1
car 4
carried 1
carrier 1
cassiopeia 2
centre 1
century 2
chamber 1
changing 1
chatelard 6
chtelet 1
city 1
classical 1
closed 1
coat 1
communicates 1
communications 1
company 2
competing 1
complains 1
computers 1
concerned 1
confronted 1
connection 1
constellation 1
construct 1
contact 3
contacts 1
contains 1
contents 1
continues 2
control 1
convinces 1
corporation 1
corporations 1
cosmos 1
could 1
creature 1
cut 1
dancing 1
dangerous 1
date 1
deeper 2
departs 1
deposited 1
derailed 1
derailment 1
destination 1
destroyed 1
detective 1
dinner 1
discharged 1
disparate 1
displeased 1
doctors 1
down 3
dragon 2
draws 1
drive 2
driven 1
driving 1
dumping 1
each 1
earth 3
economy 1
electronics 1
elemental 1
elements 1
emerge 1
empty 1
end 1
energy 1
engaged 1
enters 1
entry 1
eventually 1
ever 2
exactly 1
except 1
excursion 1
explains 1
explosion 1
farmboy 1
files 1
find 2
finds 1
fire 3
firebreathing 1
first 3
following 1
follows 1
for 6
forces 1
form 1
four 2
friend 1
from 11
futuristic 1
gain 1
gaining 1
galaxity 2
gambler 5
gendarmes 1
get 3
gets 1
give 2
go 1
gone 1
grabs 1
greeted 1
ground 3
group 3
gun 1
had 1
happened 1
happening 2
has 10
have 4
having 1
he 12
headaches 1
heading 2
heavy 1
hed 1
her 4
hide 1
him 9
himself 1
his 10
histories 1
history 3
hospital 1
hotel 6
house 6
if 2
in 24
incessant 1
incident 1
incidents 1
include 1
industry 1
information 2
inhabitants 2
intergalactic 1
interruption 1
into 5
investigate 1
investigations 1
involved 2
is 22
it 3
its 4
jeanren 3
just 1
keep 1
killing 1
knocked 1
landed 1
later 1
latest 1
laureline 11
layer 3
lead 1
leave 2
leaving 1
light 1
like 1
link 4
living 1
long 1
looking 2
looks 1
lorraine 1
lot 1
machines 1
made 1
main 1
make 2
man 1
manage 1
manages 1
manifestation 1
manifestations 2
marais 2
marked 1
marsh 3
marshes 3
materials 1
meanwhile 1
meet 1
meets 1
memory 1
men 3
merchants 1
message 1
metro 1
mine 2
mining 1
mission 1
mixed 1
money 1
monster 6
mopes 1
more 1
most 1
moving 1
mr 1
mtro 3
mud 1
muddy 1
multinational 1
muses 1
mythology 1
nation 1
new 1
news 1
not 1
noted 1
now 3
observation 1
observed 1
observes 1
obtained 1
of 31
off 5
offered 1
offers 1
ohuru 3
old 2
on 17
one 4
only 1
onto 1
opens 2
organisations 1
out 5
outside 1
paris 3
petroleum 1
philosopher 1
phone 1
pigeons 1
place 2
plagued 1
planet 9
platform 2
plundered 1
poitevin 2
police 1
porous 1
powers 1
presence 1
previously 1
proceeds 1
progress 1
provided 1
pulling 1
pulls 1
pure 1
railway 1
reached 1
realizes 2
rebuilding 1
recoil 1
records 1
reluctantly 1
remaining 1
rendezvousing 1
reported 1
representations 1
representatives 1
requires 1
research 1
resembles 1
resumed 1
resumes 1
returning 1
review 1
rifle 3
ringing 1
road 1
roof 1
room 2
rubanis 1
sanctuaries 1
sanctuary 2
saw 1
science 1
seats 1
second 2
sees 1
selling 1
set 1
share 1
she 5
shortly 1
shot 2
sighting 1
sightings 1
similar 1
sinking 1
sitting 1
sleeping 1
slip 1
slips 1
snaps 1
solum 3
some 2
spatiotemporal 1
spoke 1
sports 1
station 9
steel 1
storms 1
story 1
strange 1
streets 1
stretcher 1
suddenly 2
swindlers 1
take 2
takes 1
taxi 2
technologies 1
telepathic 2
tell 1
telling 1
tells 4
terminus 1
that 16
the 96
their 3
them 5
there 4
these 2
they 11
things 1
think 1
this 2
through 1
thrown 1
time 1
to 29
told 3
too 1
train 3
trench 1
try 1
trying 1
tunnel 3
two 2
uncle 1
unconscious 1
under 1
universe 1
unknown 1
up 6
upon 1
using 1
valerian 1
valrian 31
van 1
vehicles 1
via 1
waam 5
waiting 2
walk 1
walls 1
warn 1
was 7
watching 2
water 1
weakminded 1
well 1
whale 1
what 2
when 1
where 6
which 4
who 9
whom 1
will 3
with 9
woken 1
woman 3
world 1
wrong 1
young 3
zomuk 4
