3486671
/m/09g2wh
/m/09g2wh
Andrey Kurkov
1996

2000 1
a 18
about 2
accepted 1
actual 1
afford 1
after 5
aiming 1
alekseyevich 1
all 1
almost 1
also 1
amongst 1
an 2
and 16
animals 1
anonymous 2
antarctica 4
appraisals 1
are 4
as 8
asking 1
aspiring 1
at 2
attending 1
away 1
be 1
become 2
been 1
being 1
between 2
bill 1
book 1
but 3
by 1
care 1
caught 1
child 1
childish 1
circumstances 1
condition 1
context 1
could 1
crystallized 1
dangerous 1
daughter 1
deaths 1
decided 1
decides 1
deepest 1
develop 1
develops 1
differentiate 1
do 1
donates 1
down 1
editorinchief 1
element 1
elements 1
emotional 1
endless 1
ends 1
enemies 1
ensuing 1
enthusiastically 1
eventual 1
existence 1
existentialist 1
expedition 1
fallen 1
family 1
fat 2
figuratively 1
finding 1
finds 3
fleeing 1
follower 1
following 1
follows 1
foot 1
for 4
former 1
four 1
friend 3
from 2
front 1
funerals 1
further 1
gave 1
generally 1
gets 1
go 1
habitat 1
has 5
he 9
heart 1
highlight 1
him 1
himself 1
hinted 1
hires 1
his 10
hit 1
however 1
ill 1
illusion 1
in 8
increasingly 1
individuals 1
initially 1
into 1
intrigue 1
ironically 1
is 13
isolated 1
its 1
job 2
just 1
justifiably 1
kiev 1
king 1
kurkov 1
large 1
leaves 1
left 1
less 1
let 1
life 2
list 1
literally 1
local 2
look 1
lost 1
lucrative 1
mafia 2
man 5
many 1
marked 1
mind 1
mirror 1
misha 9
mishanonpenguin 2
money 1
more 1
musings 1
mysterious 1
nanny 1
natural 1
needs 1
new 2
newspaper 1
niece 1
nina 4
normal 1
not 2
novel 3
novels 1
obituaries 3
obituary 3
obtained 1
of 22
often 1
old 1
on 1
one 2
only 3
or 1
organization 1
other 1
out 1
over 1
own 1
paper 2
paranoid 1
passionless 1
peace 1
penguin 5
pet 1
petavatar 1
physical 1
posing 1
position 1
postsoviet 1
power 1
questions 1
rather 1
referred 2
relationship 3
returned 1
salvation 1
same 1
security 1
serene 1
sergey 1
serves 1
settling 1
shortly 1
side 1
situations 1
society 1
some 1
sonya 4
soon 1
sort 1
source 2
sponsors 1
story 2
striking 1
struggling 1
subject 1
subjects 1
successfully 1
such 2
sum 1
support 1
surrounding 1
take 2
takes 1
tenable 1
tendency 1
tenuous 1
text 3
that 6
the 34
them 2
themes 1
there 1
thereafter 1
they 3
those 1
though 1
thought 1
throughout 1
ticket 1
time 2
title 1
to 16
tracks 1
transplant 1
true 1
ukrainian 1
undermined 1
understand 1
unhappy 1
unknown 1
up 1
upcoming 1
used 1
uses 1
viktor 17
when 1
which 2
who 2
with 3
work 1
write 1
writer 2
writing 1
yet 1
young 1
zolotaryov 1
zoo 1
