217046
/m/01fsfy
/m/01fsfy
Alexandre Dumas
1844
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1625 1
1628 1
1631 1
22 1
40 1
a 39
able 2
about 5
absence 1
accompany 1
acting 1
advisors 1
affair 1
after 8
afternoon 1
afterwards 1
again 1
agent 1
agents 2
aide 1
alienates 1
all 2
allow 1
also 6
although 3
an 11
and 62
anne 2
another 1
anyone 1
appear 1
application 1
appoints 1
approved 1
aramis 5
are 4
arrest 1
arrested 1
arrests 2
arrival 1
arrive 2
arriving 1
as 7
asked 1
asking 2
assassinates 1
assault 1
assaulted 1
at 6
athos 11
attacked 2
attempt 1
attending 1
attends 1
austria 1
avenge 1
away 1
back 2
ball 1
bastion 1
battle 1
bazin 1
be 4
bearer 1
beat 1
beautiful 2
becomes 2
been 3
before 4
beforehand 1
begin 1
beheaded 1
being 1
below 1
bet 1
between 1
blank 1
boldness 1
bonacieux 5
book 1
both 1
bothered 1
branded 1
break 1
brings 1
brother 1
buckingham 10
building 1
but 12
by 13
can 5
captured 1
cardinal 25
carrier 1
categorical 1
causes 1
certifies 1
challenged 1
chance 1
cheek 1
clings 1
closest 1
coaxes 1
come 1
comes 1
commander 1
commission 2
companions 3
company 4
compelled 1
complete 1
comte 3
conducting 1
confront 1
considered 1
console 1
consort 1
constance 10
continuously 1
convent 1
count 3
counterparts 1
countryside 1
course 1
cousin 1
cowardly 1
crossed 1
crush 1
currency 1
dartagnan 40
de 21
death 1
decide 1
decree 1
deeds 1
delaying 1
delivering 1
demand 1
demanding 1
demands 1
des 3
deter 1
develops 1
diamonds 3
discovers 4
dodgy 1
does 5
doesnt 1
doing 1
door 1
duel 3
dueling 1
duels 2
duke 5
each 5
eludes 1
encounter 1
encounters 2
end 1
endorsement 1
ends 1
england 4
enroute 1
ensuing 1
entering 1
escape 2
escapes 1
essart 1
essarts 2
even 1
event 2
events 2
execution 1
executioner 1
expression 1
exwife 1
faade 1
fact 1
fails 1
falls 1
family 1
fatally 1
fate 1
feeling 1
felon 2
felton 2
fictionalization 1
fight 2
fighter 1
find 1
finding 1
finds 1
first 3
fleurdelis 1
for 10
form 1
four 6
france 4
french 2
frequently 1
friend 1
friends 6
from 10
future 1
gascony 1
gentleman 1
gervais 1
get 2
getting 1
gift 1
give 1
gives 3
giving 1
glad 1
granting 1
gratitude 1
grimaud 1
guard 3
guards 5
had 1
half 1
handmaiden 1
handwritten 1
has 5
have 3
he 20
headquarters 1
hearing 1
help 2
henchmen 1
her 29
hides 1
him 12
himself 4
hires 1
his 19
hold 2
honour 1
horse 1
hour 2
however 2
husband 2
identifies 1
illegal 1
impressed 2
imprisoned 2
in 32
indifferent 1
infidelity 1
informed 1
injuries 1
inn 2
insulted 1
intended 1
intention 1
into 1
introduction 1
is 21
it 8
its 1
itself 1
jewelry 3
jewels 1
john 1
join 2
joining 1
joins 1
jokes 1
jussac 1
just 4
keep 1
keepsake 1
kidnapping 1
kidnaps 1
kill 3
killing 4
kills 1
king 4
known 1
la 4
lady 1
landlord 3
later 5
laugh 1
learns 3
leaves 1
less 1
letter 2
lieutenant 2
life 2
lights 1
lodgings 1
london 2
looks 1
lord 4
loss 1
louis 2
love 1
lover 2
madame 1
makes 2
making 1
man 4
manage 1
