147951
/m/012yyq
/m/012yyq
Charles Dickens
1857
1826 1
a 22
able 1
about 1
acquaintance 1
acts 1
affery 1
after 2
ago 1
agreed 1
aided 1
air 1
airport 1
all 1
alone 1
alps 1
also 2
although 1
always 1
amy 13
an 5
and 32
ann 1
are 3
arthur 23
artist 1
as 9
assumed 1
at 5
attempts 1
away 2
back 1
bank 1
be 3
beads 1
beautiful 1
become 1
becoming 1
been 4
before 2
befriended 1
beg 1
begins 1
being 2
benefactor 1
bequest 1
biological 2
blackmail 1
both 1
bring 1
brother 3
business 3
but 2
by 8
ca 1
called 1
carrying 1
casing 1
cedars 1
cell 1
ceremony 1
chair 1
character 2
charles 1
child 1
childhood 1
children 1
china 1
chivery 1
chooses 1
circumlocution 2
clennam 15
collapse 1
collapses 1
conceit 1
concerns 1
condition 1
connected 1
contains 1
cooper 1
criminal 1
d 1
daniel 2
daughter 5
dealings 1
death 1
debt 1
debtcollector 1
debtor 2
decides 2
delirium 1
devoted 1
dickens 2
died 2
dies 1
discovers 2
dismay 1
distraught 1
do 1
dorrit 13
dorrits 2
down 1
downtrodden 1
doyce 2
east 1
edmund 2
edward 1
employed 1
end 1
enormous 1
estate 1
estranged 1
europe 1
eventually 1
exception 1
eyes 1
f 1
fact 1
fails 1
falls 2
family 3
fanatic 1
fanny 2
father 6
fiance 1
finally 2
financially 1
finching 1
flintwinch 1
flora 1
following 1
follows 1
foppish 1
for 4
forget 1
forgiveness 1
former 1
fortune 2
fortunes 1
foster 1
fraudulent 1
frederick 4
free 1
freely 1
french 1
friends 1
from 4
girl 3
given 1
go 1
goes 1
gone 1
gowan 2
grants 1
grateful 1
grief 1
grown 1
had 8
happened 1
harsh 1
has 9
hates 1
hatton 1
have 1
he 9
health 1
heathrow 1
heir 1
heiress 1
help 2
her 19
herand 1
hiding 1
him 2
himself 1
his 18
house 3
however 1
hurt 1
husband 1
idle 1
ie 1
if 1
ill 1
implacable 1
imprisoned 2
in 15
indefatigable 1
informing 1
initials 1
inquire 1
inside 1
inspired 1
intended 1
interest 1
into 1
inventor 1
is 19
it 7
its 1
jailer 1
jeremiah 1
jilted 1
john 1
killing 1
kindhearted 3
kindly 1
kindness 1
knowledge 1
known 2
large 1
last 1
leads 1
learned 1
learns 1
left 2
legacy 2
like 1
limbsas 1
literally 1
little 5
lived 2
london 7
long 1
lost 1
love 1
loved 1
lured 1
man 1
many 1
married 2
marries 1
marry 1
marseilles 1
marshalsea 4
mary 1
mate 1
meagles 1
means 2
meets 1
men 1
merdle 2
message 1
might 1
misfortunes 1
miss 2
misses 1
mitton 1
mother 9
mr 3
mrs 10
much 1
murdered 1
murderer 1
murmuring 1
musician 2
mysterious 1
mystery 1
n 1
naturally 1
ne 1
never 1
newfound 1
newly 1
no 1
not 3
notorious 1
novel 1
novels 1
now 5
numerous 1
nursed 1
of 29
office 2
old 1
on 3
once 1
one 1
or 1
out 4
over 1
overcome 1
overweight 1
pancks 1
paper 1
paralysed 1
part 1
partner 2
pass 1
passes 1
passion 1
paternal 1
patron 1
pay 1
pet 1
played 1
please 1
ponzi 1
poorly 1
present 1
pressured 1
prison 3
rather 1
reacquainted 1
real 2
recognize 1
recover 1
refuses 1
released 1
religious 1
remorse 1
residence 1
resident 1
respectable 1
returning 1
returns 2
reveal 3
revived 1
rigaud 5
rises 1
road 1
rome 2
run 1
runs 1
russia 1
savings 1
scheme 1
seamstress 1
secret 1
see 2
separated 1
servant 2
sewing 1
she 4
should 1
showing 1
shows 1
silk 1
similar 1
simpering 1
since 1
singer 1
sinister 1
site 1
snobbish 1
so 1
sometimes 1
son 2
sorts 1
sparkler 2
speech 1
spell 1
stay 1
stepfather 1
still 1
stood 1
streetnever 1
struggling 1
stung 1
subplot 1
subplots 1
suicide 1
supporting 1
supposed 1
suppressing 1
suspecting 1
sweetheart 1
take 1
taken 1
taking 1
tattycoram 1
taught 1
than 1
that 12
the 57
their 3
them 2
then 1
there 3
they 6
thirty 1
this 1
though 2
three 1
through 2
time 1
tip 1
to 34
totters 1
tour 1
travel 1
tries 1
turns 1
twenty 1
two 2
uncle 3
under 1
unusual 1
up 3
upset 1
use 1
user 1
vainly 1
venice 1
villain 1
visited 1
wade 2
was 5
watch 3
way 1
wealth 1
wealthy 3
west 1
what 2
wheelchair 1
when 5
which 1
while 2
who 9
whom 4
wife 2
william 5
with 12
wonders 1
worked 1
world 1
years 2
young 2
younger 1
youngest 2
your 1
